Student S10025 named Alexander Campbell, age 12, gender Female, is in Class 9. Scored 56 in Math, 39 in Science, 58 in English, 58 in History, and 39 in Computer, totaling 250 marks with Grade D. Attendance stands at 71.01 percent. Participates in Debate as an extracurricular activity.
Student S17388 named Ethan Mcclain, age 14, gender Female, is in Class 9. Scored 61 in Math, 62 in Science, 48 in English, 68 in History, and 86 in Computer, totaling 325 marks with Grade C. Attendance stands at 86.70 percent. Participates in Debate as an extracurricular activity.
Student S17398 named Ashley Jones, age 17, gender Male, is in Class 9. Scored 99 in Math, 70 in Science, 69 in English, 51 in History, and 68 in Computer, totaling 357 marks with Grade C. Attendance stands at 62.03 percent. Participates in None as an extracurricular activity.
Student S17409 named Robert Oneill, age 16, gender Male, is in Class 9. Scored 83 in Math, 89 in Science, 85 in English, 37 in History, and 72 in Computer, totaling 366 marks with Grade C. Attendance stands at 61.58 percent. Participates in Debate as an extracurricular activity.
Student S17428 named Daniel Gonzalez, age 17, gender Male, is in Class 9. Scored 34 in Math, 43 in Science, 44 in English, 66 in History, and 30 in Computer, totaling 217 marks with Grade D. Attendance stands at 93.55 percent. Participates in None as an extracurricular activity.
Student S17435 named Sheila Porter, age 13, gender Female, is in Class 9. Scored 90 in Math, 34 in Science, 81 in English, 82 in History, and 59 in Computer, totaling 346 marks with Grade C. Attendance stands at 80.43 percent. Participates in Debate as an extracurricular activity.
Student S17436 named James Simon, age 12, gender Male, is in Class 9. Scored 48 in Math, 52 in Science, 56 in English, 36 in History, and 87 in Computer, totaling 279 marks with Grade D. Attendance stands at 66.81 percent. Participates in Music as an extracurricular activity.
Student S17439 named Joshua Garrett, age 13, gender Male, is in Class 9. Scored 87 in Math, 81 in Science, 87 in English, 89 in History, and 40 in Computer, totaling 384 marks with Grade C. Attendance stands at 82.09 percent. Participates in Dance as an extracurricular activity.
Student S17442 named Jonathan Clark, age 17, gender Male, is in Class 9. Scored 88 in Math, 34 in Science, 89 in English, 92 in History, and 33 in Computer, totaling 336 marks with Grade C. Attendance stands at 76.76 percent. Participates in Drama as an extracurricular activity.
Student S17446 named Brooke Spence, age 11, gender Female, is in Class 9. Scored 98 in Math, 92 in Science, 33 in English, 53 in History, and 31 in Computer, totaling 307 marks with Grade C. Attendance stands at 68.95 percent. Participates in Dance as an extracurricular activity.
Student S17451 named Courtney Bruce, age 13, gender Male, is in Class 9. Scored 45 in Math, 52 in Science, 38 in English, 93 in History, and 85 in Computer, totaling 313 marks with Grade C. Attendance stands at 88.87 percent. Participates in None as an extracurricular activity.
Student S17453 named Dr. Roy Vincent, age 10, gender Male, is in Class 9. Scored 59 in Math, 92 in Science, 84 in English, 76 in History, and 32 in Computer, totaling 343 marks with Grade C. Attendance stands at 68.00 percent. Participates in Debate as an extracurricular activity.
Student S17454 named Kelsey Lambert, age 16, gender Male, is in Class 9. Scored 61 in Math, 85 in Science, 32 in English, 98 in History, and 80 in Computer, totaling 356 marks with Grade C. Attendance stands at 73.85 percent. Participates in Football as an extracurricular activity.
Student S17461 named Mario Padilla, age 14, gender Female, is in Class 9. Scored 56 in Math, 46 in Science, 74 in English, 90 in History, and 38 in Computer, totaling 304 marks with Grade C. Attendance stands at 93.06 percent. Participates in Dance as an extracurricular activity.
Student S17464 named Sarah Sosa, age 12, gender Female, is in Class 9. Scored 45 in Math, 87 in Science, 59 in English, 65 in History, and 93 in Computer, totaling 349 marks with Grade C. Attendance stands at 96.09 percent. Participates in Debate as an extracurricular activity.
Student S17468 named Amanda Hinton, age 14, gender Male, is in Class 9. Scored 54 in Math, 39 in Science, 32 in English, 64 in History, and 62 in Computer, totaling 251 marks with Grade D. Attendance stands at 95.59 percent. Participates in Debate as an extracurricular activity.
Student S17469 named Charlene Cline, age 16, gender Male, is in Class 9. Scored 80 in Math, 47 in Science, 76 in English, 97 in History, and 66 in Computer, totaling 366 marks with Grade C. Attendance stands at 76.18 percent. Participates in None as an extracurricular activity.
Student S17470 named William Mckee, age 17, gender Male, is in Class 9. Scored 64 in Math, 77 in Science, 48 in English, 70 in History, and 92 in Computer, totaling 351 marks with Grade C. Attendance stands at 96.99 percent. Participates in Drama as an extracurricular activity.
Student S17471 named Brittany Mayer, age 12, gender Female, is in Class 9. Scored 69 in Math, 98 in Science, 99 in English, 53 in History, and 33 in Computer, totaling 352 marks with Grade C. Attendance stands at 70.51 percent. Participates in Drama as an extracurricular activity.
Student S17485 named Justin Henderson, age 15, gender Male, is in Class 9. Scored 41 in Math, 86 in Science, 43 in English, 86 in History, and 89 in Computer, totaling 345 marks with Grade C. Attendance stands at 70.14 percent. Participates in Drama as an extracurricular activity.
Student S17491 named Linda Jacobs, age 16, gender Female, is in Class 9. Scored 41 in Math, 38 in Science, 50 in English, 83 in History, and 56 in Computer, totaling 268 marks with Grade D. Attendance stands at 70.03 percent. Participates in Dance as an extracurricular activity.
Student S17507 named Alan Bush, age 13, gender Female, is in Class 9. Scored 64 in Math, 36 in Science, 58 in English, 48 in History, and 88 in Computer, totaling 294 marks with Grade D. Attendance stands at 94.92 percent. Participates in Music as an extracurricular activity.
Student S17515 named Austin Jones, age 17, gender Male, is in Class 9. Scored 72 in Math, 84 in Science, 51 in English, 66 in History, and 49 in Computer, totaling 322 marks with Grade C. Attendance stands at 86.29 percent. Participates in Debate as an extracurricular activity.
Student S17530 named Linda Shaw, age 11, gender Female, is in Class 9. Scored 31 in Math, 68 in Science, 64 in English, 35 in History, and 76 in Computer, totaling 274 marks with Grade D. Attendance stands at 60.08 percent. Participates in Drama as an extracurricular activity.
Student S17531 named Beth Jones, age 11, gender Female, is in Class 9. Scored 38 in Math, 32 in Science, 84 in English, 54 in History, and 42 in Computer, totaling 250 marks with Grade D. Attendance stands at 74.09 percent. Participates in Drama as an extracurricular activity.
Student S17538 named Lauren Jackson, age 15, gender Female, is in Class 9. Scored 96 in Math, 63 in Science, 64 in English, 66 in History, and 32 in Computer, totaling 321 marks with Grade C. Attendance stands at 77.12 percent. Participates in Drama as an extracurricular activity.
Student S17548 named Eric Fields, age 17, gender Female, is in Class 9. Scored 84 in Math, 75 in Science, 42 in English, 64 in History, and 59 in Computer, totaling 324 marks with Grade C. Attendance stands at 88.65 percent. Participates in Dance as an extracurricular activity.
Student S17552 named Timothy Rodriguez, age 11, gender Female, is in Class 9. Scored 98 in Math, 40 in Science, 86 in English, 88 in History, and 72 in Computer, totaling 384 marks with Grade C. Attendance stands at 92.63 percent. Participates in Dance as an extracurricular activity.
Student S17560 named Ashley Moreno, age 12, gender Male, is in Class 9. Scored 71 in Math, 74 in Science, 63 in English, 44 in History, and 93 in Computer, totaling 345 marks with Grade C. Attendance stands at 68.38 percent. Participates in Music as an extracurricular activity.
Student S17563 named Angel Stevenson, age 17, gender Female, is in Class 9. Scored 98 in Math, 96 in Science, 97 in English, 34 in History, and 88 in Computer, totaling 413 marks with Grade B. Attendance stands at 92.29 percent. Participates in Drama as an extracurricular activity.
Student S17564 named Kristina Ware, age 11, gender Male, is in Class 9. Scored 86 in Math, 51 in Science, 47 in English, 42 in History, and 53 in Computer, totaling 279 marks with Grade D. Attendance stands at 85.00 percent. Participates in Debate as an extracurricular activity.
Student S17574 named Bradley Riggs, age 10, gender Female, is in Class 9. Scored 79 in Math, 45 in Science, 48 in English, 97 in History, and 85 in Computer, totaling 354 marks with Grade C. Attendance stands at 88.24 percent. Participates in Music as an extracurricular activity.
Student S17589 named Rita Frazier, age 16, gender Female, is in Class 9. Scored 55 in Math, 84 in Science, 48 in English, 43 in History, and 71 in Computer, totaling 301 marks with Grade C. Attendance stands at 70.16 percent. Participates in Drama as an extracurricular activity.
Student S17590 named Benjamin Sullivan, age 14, gender Male, is in Class 9. Scored 71 in Math, 87 in Science, 40 in English, 99 in History, and 33 in Computer, totaling 330 marks with Grade C. Attendance stands at 88.72 percent. Participates in Music as an extracurricular activity.
Student S17592 named Sarah Davis, age 13, gender Female, is in Class 9. Scored 75 in Math, 80 in Science, 63 in English, 43 in History, and 72 in Computer, totaling 333 marks with Grade C. Attendance stands at 86.00 percent. Participates in Debate as an extracurricular activity.
Student S17600 named Gregory Park, age 13, gender Male, is in Class 9. Scored 76 in Math, 98 in Science, 96 in English, 75 in History, and 44 in Computer, totaling 389 marks with Grade C. Attendance stands at 73.77 percent. Participates in Dance as an extracurricular activity.
Student S17603 named James Willis, age 10, gender Female, is in Class 9. Scored 87 in Math, 65 in Science, 45 in English, 87 in History, and 43 in Computer, totaling 327 marks with Grade C. Attendance stands at 69.01 percent. Participates in Dance as an extracurricular activity.
Student S17615 named Brent Lopez, age 11, gender Female, is in Class 9. Scored 50 in Math, 73 in Science, 74 in English, 93 in History, and 34 in Computer, totaling 324 marks with Grade C. Attendance stands at 64.65 percent. Participates in Debate as an extracurricular activity.
Student S17617 named Darren Harrison, age 15, gender Female, is in Class 9. Scored 81 in Math, 79 in Science, 61 in English, 34 in History, and 37 in Computer, totaling 292 marks with Grade D. Attendance stands at 75.12 percent. Participates in Dance as an extracurricular activity.
Student S17640 named Tiffany Bauer, age 11, gender Female, is in Class 9. Scored 47 in Math, 70 in Science, 76 in English, 47 in History, and 59 in Computer, totaling 299 marks with Grade D. Attendance stands at 75.09 percent. Participates in Music as an extracurricular activity.
Student S17642 named Joshua Mosley, age 14, gender Male, is in Class 9. Scored 57 in Math, 95 in Science, 81 in English, 82 in History, and 58 in Computer, totaling 373 marks with Grade C. Attendance stands at 81.67 percent. Participates in Dance as an extracurricular activity.
Student S17651 named Jenny Gutierrez, age 10, gender Male, is in Class 9. Scored 48 in Math, 44 in Science, 68 in English, 35 in History, and 75 in Computer, totaling 270 marks with Grade D. Attendance stands at 80.99 percent. Participates in Football as an extracurricular activity.
Student S17667 named Michael Austin, age 12, gender Female, is in Class 9. Scored 91 in Math, 75 in Science, 90 in English, 83 in History, and 54 in Computer, totaling 393 marks with Grade C. Attendance stands at 78.71 percent. Participates in Music as an extracurricular activity.
Student S17676 named Blake Mccarthy, age 14, gender Male, is in Class 9. Scored 59 in Math, 57 in Science, 36 in English, 99 in History, and 92 in Computer, totaling 343 marks with Grade C. Attendance stands at 71.65 percent. Participates in Dance as an extracurricular activity.
Student S17680 named Jessica Shepherd, age 11, gender Male, is in Class 9. Scored 95 in Math, 60 in Science, 48 in English, 57 in History, and 57 in Computer, totaling 317 marks with Grade C. Attendance stands at 80.00 percent. Participates in Music as an extracurricular activity.
Student S17684 named Tyler Green, age 17, gender Female, is in Class 9. Scored 61 in Math, 90 in Science, 88 in English, 95 in History, and 86 in Computer, totaling 420 marks with Grade B. Attendance stands at 63.88 percent. Participates in Dance as an extracurricular activity.
Student S17688 named Robert Moon, age 15, gender Female, is in Class 9. Scored 53 in Math, 42 in Science, 30 in English, 30 in History, and 41 in Computer, totaling 196 marks with Grade F. Attendance stands at 73.41 percent. Participates in Dance as an extracurricular activity.
Student S17692 named Adam Mills, age 13, gender Male, is in Class 9. Scored 52 in Math, 88 in Science, 92 in English, 91 in History, and 83 in Computer, totaling 406 marks with Grade B. Attendance stands at 69.96 percent. Participates in Debate as an extracurricular activity.
Student S17693 named Michael Gutierrez, age 10, gender Female, is in Class 9. Scored 35 in Math, 67 in Science, 70 in English, 81 in History, and 78 in Computer, totaling 331 marks with Grade C. Attendance stands at 76.02 percent. Participates in Drama as an extracurricular activity.
Student S17700 named Lee Williams, age 15, gender Male, is in Class 9. Scored 94 in Math, 63 in Science, 30 in English, 74 in History, and 76 in Computer, totaling 337 marks with Grade C. Attendance stands at 88.92 percent. Participates in None as an extracurricular activity.
Student S17706 named Angel Kelly, age 13, gender Female, is in Class 9. Scored 84 in Math, 83 in Science, 42 in English, 53 in History, and 82 in Computer, totaling 344 marks with Grade C. Attendance stands at 98.31 percent. Participates in Debate as an extracurricular activity.
Student S17721 named Stacy Myers, age 10, gender Male, is in Class 9. Scored 42 in Math, 35 in Science, 93 in English, 76 in History, and 89 in Computer, totaling 335 marks with Grade C. Attendance stands at 76.90 percent. Participates in Football as an extracurricular activity.
Student S17725 named Connie Taylor, age 13, gender Male, is in Class 9. Scored 96 in Math, 97 in Science, 51 in English, 88 in History, and 73 in Computer, totaling 405 marks with Grade B. Attendance stands at 74.54 percent. Participates in Music as an extracurricular activity.
Student S17734 named Mrs. Rachel Thompson, age 12, gender Male, is in Class 9. Scored 70 in Math, 92 in Science, 90 in English, 59 in History, and 54 in Computer, totaling 365 marks with Grade C. Attendance stands at 72.92 percent. Participates in Debate as an extracurricular activity.
Student S17736 named Paul Brown, age 12, gender Male, is in Class 9. Scored 88 in Math, 53 in Science, 70 in English, 76 in History, and 68 in Computer, totaling 355 marks with Grade C. Attendance stands at 71.88 percent. Participates in Dance as an extracurricular activity.
Student S17749 named Emily Carpenter, age 11, gender Male, is in Class 9. Scored 69 in Math, 38 in Science, 57 in English, 87 in History, and 62 in Computer, totaling 313 marks with Grade C. Attendance stands at 79.24 percent. Participates in Debate as an extracurricular activity.
Student S17755 named James Ramirez, age 12, gender Female, is in Class 9. Scored 74 in Math, 87 in Science, 94 in English, 36 in History, and 78 in Computer, totaling 369 marks with Grade C. Attendance stands at 96.21 percent. Participates in Dance as an extracurricular activity.
Student S17767 named Laura Pope, age 15, gender Female, is in Class 9. Scored 70 in Math, 48 in Science, 70 in English, 97 in History, and 38 in Computer, totaling 323 marks with Grade C. Attendance stands at 94.55 percent. Participates in Drama as an extracurricular activity.
Student S17771 named Larry Taylor, age 17, gender Female, is in Class 9. Scored 72 in Math, 54 in Science, 55 in English, 48 in History, and 62 in Computer, totaling 291 marks with Grade D. Attendance stands at 87.54 percent. Participates in Debate as an extracurricular activity.
Student S17772 named Sarah Salinas, age 14, gender Male, is in Class 9. Scored 49 in Math, 77 in Science, 93 in English, 94 in History, and 45 in Computer, totaling 358 marks with Grade C. Attendance stands at 77.14 percent. Participates in None as an extracurricular activity.
Student S17774 named Darrell Jones, age 12, gender Male, is in Class 9. Scored 43 in Math, 68 in Science, 75 in English, 58 in History, and 83 in Computer, totaling 327 marks with Grade C. Attendance stands at 88.02 percent. Participates in Football as an extracurricular activity.
Student S17778 named Donald Howard, age 10, gender Female, is in Class 9. Scored 84 in Math, 40 in Science, 40 in English, 47 in History, and 60 in Computer, totaling 271 marks with Grade D. Attendance stands at 75.84 percent. Participates in Football as an extracurricular activity.
Student S17808 named Aaron Hall, age 17, gender Female, is in Class 9. Scored 62 in Math, 64 in Science, 84 in English, 65 in History, and 46 in Computer, totaling 321 marks with Grade C. Attendance stands at 62.93 percent. Participates in Football as an extracurricular activity.
Student S17812 named Jake Oliver, age 14, gender Female, is in Class 9. Scored 92 in Math, 81 in Science, 50 in English, 40 in History, and 46 in Computer, totaling 309 marks with Grade C. Attendance stands at 72.17 percent. Participates in Dance as an extracurricular activity.
Student S17819 named Emily Thompson, age 12, gender Female, is in Class 9. Scored 73 in Math, 83 in Science, 35 in English, 82 in History, and 51 in Computer, totaling 324 marks with Grade C. Attendance stands at 99.87 percent. Participates in Music as an extracurricular activity.
Student S17830 named Sheryl Lewis, age 10, gender Female, is in Class 9. Scored 30 in Math, 72 in Science, 31 in English, 83 in History, and 75 in Computer, totaling 291 marks with Grade D. Attendance stands at 95.14 percent. Participates in Football as an extracurricular activity.
Student S17852 named Brady Wood, age 11, gender Male, is in Class 9. Scored 51 in Math, 54 in Science, 42 in English, 57 in History, and 98 in Computer, totaling 302 marks with Grade C. Attendance stands at 88.96 percent. Participates in Football as an extracurricular activity.
Student S17855 named Todd Richardson, age 12, gender Female, is in Class 9. Scored 43 in Math, 55 in Science, 99 in English, 80 in History, and 67 in Computer, totaling 344 marks with Grade C. Attendance stands at 73.80 percent. Participates in Music as an extracurricular activity.
Student S17867 named Kevin Thompson, age 10, gender Female, is in Class 9. Scored 80 in Math, 33 in Science, 59 in English, 87 in History, and 48 in Computer, totaling 307 marks with Grade C. Attendance stands at 71.07 percent. Participates in Debate as an extracurricular activity.
Student S17876 named Alexandria Payne, age 14, gender Female, is in Class 9. Scored 49 in Math, 97 in Science, 40 in English, 82 in History, and 37 in Computer, totaling 305 marks with Grade C. Attendance stands at 65.19 percent. Participates in Music as an extracurricular activity.
Student S17878 named Beverly Stone, age 15, gender Female, is in Class 9. Scored 80 in Math, 96 in Science, 88 in English, 73 in History, and 32 in Computer, totaling 369 marks with Grade C. Attendance stands at 83.43 percent. Participates in Dance as an extracurricular activity.
Student S17888 named Julie Nelson, age 17, gender Female, is in Class 9. Scored 64 in Math, 71 in Science, 88 in English, 45 in History, and 67 in Computer, totaling 335 marks with Grade C. Attendance stands at 77.94 percent. Participates in Music as an extracurricular activity.
Student S17892 named Cody Dickerson, age 10, gender Female, is in Class 9. Scored 46 in Math, 48 in Science, 56 in English, 48 in History, and 36 in Computer, totaling 234 marks with Grade D. Attendance stands at 75.62 percent. Participates in Debate as an extracurricular activity.
Student S17903 named Andrea Brown, age 16, gender Male, is in Class 9. Scored 87 in Math, 70 in Science, 62 in English, 45 in History, and 89 in Computer, totaling 353 marks with Grade C. Attendance stands at 86.75 percent. Participates in Drama as an extracurricular activity.
Student S17918 named Joe Gardner, age 12, gender Female, is in Class 9. Scored 39 in Math, 43 in Science, 57 in English, 42 in History, and 76 in Computer, totaling 257 marks with Grade D. Attendance stands at 94.70 percent. Participates in None as an extracurricular activity.
Student S17922 named Christopher Phelps, age 17, gender Male, is in Class 9. Scored 73 in Math, 64 in Science, 59 in English, 97 in History, and 65 in Computer, totaling 358 marks with Grade C. Attendance stands at 60.46 percent. Participates in Debate as an extracurricular activity.
Student S17934 named Jacob Morris, age 17, gender Male, is in Class 9. Scored 43 in Math, 99 in Science, 62 in English, 65 in History, and 80 in Computer, totaling 349 marks with Grade C. Attendance stands at 62.07 percent. Participates in Drama as an extracurricular activity.
Student S17937 named Nicole Brady, age 14, gender Male, is in Class 9. Scored 72 in Math, 47 in Science, 44 in English, 32 in History, and 42 in Computer, totaling 237 marks with Grade D. Attendance stands at 80.90 percent. Participates in None as an extracurricular activity.
Student S17946 named Frank Vang, age 16, gender Male, is in Class 9. Scored 87 in Math, 96 in Science, 73 in English, 54 in History, and 56 in Computer, totaling 366 marks with Grade C. Attendance stands at 94.44 percent. Participates in Dance as an extracurricular activity.
Student S17948 named Jacob Davis, age 11, gender Male, is in Class 9. Scored 43 in Math, 47 in Science, 45 in English, 73 in History, and 92 in Computer, totaling 300 marks with Grade D. Attendance stands at 65.29 percent. Participates in Dance as an extracurricular activity.
Student S17959 named Jorge Bates, age 11, gender Female, is in Class 9. Scored 54 in Math, 55 in Science, 85 in English, 75 in History, and 53 in Computer, totaling 322 marks with Grade C. Attendance stands at 84.36 percent. Participates in Drama as an extracurricular activity.
Student S17981 named Tony Hodges, age 16, gender Female, is in Class 9. Scored 67 in Math, 59 in Science, 30 in English, 55 in History, and 35 in Computer, totaling 246 marks with Grade D. Attendance stands at 63.48 percent. Participates in Debate as an extracurricular activity.
Student S17985 named Molly Jordan, age 10, gender Male, is in Class 9. Scored 95 in Math, 43 in Science, 55 in English, 50 in History, and 62 in Computer, totaling 305 marks with Grade C. Attendance stands at 84.56 percent. Participates in Dance as an extracurricular activity.
Student S17994 named Jesse Simpson, age 14, gender Male, is in Class 9. Scored 57 in Math, 75 in Science, 50 in English, 54 in History, and 98 in Computer, totaling 334 marks with Grade C. Attendance stands at 76.41 percent. Participates in Dance as an extracurricular activity.
Student S17999 named Debbie Walker, age 17, gender Female, is in Class 9. Scored 43 in Math, 42 in Science, 91 in English, 39 in History, and 86 in Computer, totaling 301 marks with Grade C. Attendance stands at 78.73 percent. Participates in Dance as an extracurricular activity.
Student S18010 named Nicole Moses, age 12, gender Female, is in Class 9. Scored 67 in Math, 59 in Science, 49 in English, 54 in History, and 90 in Computer, totaling 319 marks with Grade C. Attendance stands at 65.42 percent. Participates in Music as an extracurricular activity.
Student S18015 named Cheryl Richards, age 10, gender Female, is in Class 9. Scored 69 in Math, 70 in Science, 41 in English, 31 in History, and 96 in Computer, totaling 307 marks with Grade C. Attendance stands at 86.18 percent. Participates in Debate as an extracurricular activity.
Student S18021 named Tracy Payne, age 10, gender Female, is in Class 9. Scored 56 in Math, 46 in Science, 32 in English, 63 in History, and 33 in Computer, totaling 230 marks with Grade D. Attendance stands at 75.61 percent. Participates in Drama as an extracurricular activity.
Student S18030 named William Shaw, age 14, gender Female, is in Class 9. Scored 31 in Math, 42 in Science, 86 in English, 66 in History, and 42 in Computer, totaling 267 marks with Grade D. Attendance stands at 81.86 percent. Participates in Music as an extracurricular activity.
Student S18033 named Troy Smith, age 11, gender Male, is in Class 9. Scored 43 in Math, 64 in Science, 52 in English, 95 in History, and 80 in Computer, totaling 334 marks with Grade C. Attendance stands at 68.18 percent. Participates in Debate as an extracurricular activity.
Student S18035 named Peter Galvan, age 10, gender Male, is in Class 9. Scored 66 in Math, 53 in Science, 63 in English, 99 in History, and 33 in Computer, totaling 314 marks with Grade C. Attendance stands at 98.95 percent. Participates in None as an extracurricular activity.
Student S18038 named Darlene Owens, age 13, gender Female, is in Class 9. Scored 30 in Math, 94 in Science, 41 in English, 75 in History, and 90 in Computer, totaling 330 marks with Grade C. Attendance stands at 69.79 percent. Participates in Drama as an extracurricular activity.
Student S18042 named Jane Rivera, age 13, gender Male, is in Class 9. Scored 62 in Math, 46 in Science, 90 in English, 57 in History, and 51 in Computer, totaling 306 marks with Grade C. Attendance stands at 75.10 percent. Participates in Music as an extracurricular activity.
Student S18047 named Caitlin Carter, age 11, gender Male, is in Class 9. Scored 43 in Math, 96 in Science, 94 in English, 95 in History, and 59 in Computer, totaling 387 marks with Grade C. Attendance stands at 63.69 percent. Participates in Debate as an extracurricular activity.
Student S18048 named Maria Warren, age 10, gender Male, is in Class 9. Scored 83 in Math, 82 in Science, 65 in English, 84 in History, and 47 in Computer, totaling 361 marks with Grade C. Attendance stands at 77.47 percent. Participates in Dance as an extracurricular activity.
Student S18058 named Keith Larson, age 17, gender Female, is in Class 9. Scored 37 in Math, 82 in Science, 94 in English, 51 in History, and 83 in Computer, totaling 347 marks with Grade C. Attendance stands at 65.97 percent. Participates in Drama as an extracurricular activity.
Student S18060 named Jeffrey Rice, age 14, gender Male, is in Class 9. Scored 59 in Math, 32 in Science, 84 in English, 59 in History, and 55 in Computer, totaling 289 marks with Grade D. Attendance stands at 73.21 percent. Participates in Debate as an extracurricular activity.
Student S18068 named Toni Rodriguez, age 11, gender Male, is in Class 9. Scored 48 in Math, 96 in Science, 68 in English, 39 in History, and 44 in Computer, totaling 295 marks with Grade D. Attendance stands at 96.52 percent. Participates in Drama as an extracurricular activity.
Student S18071 named Diana Villarreal, age 11, gender Female, is in Class 9. Scored 47 in Math, 37 in Science, 63 in English, 76 in History, and 61 in Computer, totaling 284 marks with Grade D. Attendance stands at 97.74 percent. Participates in Dance as an extracurricular activity.
Student S18074 named Michael Jennings, age 14, gender Male, is in Class 9. Scored 59 in Math, 51 in Science, 63 in English, 68 in History, and 91 in Computer, totaling 332 marks with Grade C. Attendance stands at 76.38 percent. Participates in Music as an extracurricular activity.
Student S18076 named Jessica Davis, age 16, gender Female, is in Class 9. Scored 99 in Math, 37 in Science, 99 in English, 51 in History, and 42 in Computer, totaling 328 marks with Grade C. Attendance stands at 92.17 percent. Participates in Drama as an extracurricular activity.
Student S18077 named Monica Scott, age 16, gender Male, is in Class 9. Scored 52 in Math, 68 in Science, 46 in English, 80 in History, and 54 in Computer, totaling 300 marks with Grade D. Attendance stands at 70.54 percent. Participates in Music as an extracurricular activity.
Student S18078 named Aaron Dennis, age 16, gender Male, is in Class 9. Scored 56 in Math, 60 in Science, 62 in English, 98 in History, and 34 in Computer, totaling 310 marks with Grade C. Attendance stands at 85.75 percent. Participates in Football as an extracurricular activity.
Student S18089 named Cole Hooper, age 15, gender Male, is in Class 9. Scored 77 in Math, 42 in Science, 42 in English, 48 in History, and 65 in Computer, totaling 274 marks with Grade D. Attendance stands at 71.75 percent. Participates in Debate as an extracurricular activity.
Student S18104 named Matthew Henry, age 10, gender Female, is in Class 9. Scored 74 in Math, 99 in Science, 92 in English, 99 in History, and 98 in Computer, totaling 462 marks with Grade A. Attendance stands at 60.49 percent. Participates in Drama as an extracurricular activity.
Student S18110 named Bryan Anthony, age 14, gender Male, is in Class 9. Scored 39 in Math, 54 in Science, 54 in English, 88 in History, and 75 in Computer, totaling 310 marks with Grade C. Attendance stands at 80.22 percent. Participates in None as an extracurricular activity.
Student S18123 named Matthew Thomas, age 10, gender Male, is in Class 9. Scored 99 in Math, 54 in Science, 54 in English, 62 in History, and 49 in Computer, totaling 318 marks with Grade C. Attendance stands at 88.38 percent. Participates in Football as an extracurricular activity.
Student S18126 named Tabitha Hines, age 14, gender Male, is in Class 9. Scored 44 in Math, 69 in Science, 77 in English, 88 in History, and 34 in Computer, totaling 312 marks with Grade C. Attendance stands at 67.57 percent. Participates in Football as an extracurricular activity.
Student S18145 named Amy Green, age 17, gender Male, is in Class 9. Scored 35 in Math, 52 in Science, 74 in English, 40 in History, and 82 in Computer, totaling 283 marks with Grade D. Attendance stands at 69.31 percent. Participates in None as an extracurricular activity.
Student S18155 named Lori Fitzgerald, age 16, gender Male, is in Class 9. Scored 60 in Math, 41 in Science, 47 in English, 69 in History, and 34 in Computer, totaling 251 marks with Grade D. Attendance stands at 68.70 percent. Participates in Drama as an extracurricular activity.
Student S18163 named Carmen Johnson, age 16, gender Male, is in Class 9. Scored 66 in Math, 83 in Science, 49 in English, 61 in History, and 74 in Computer, totaling 333 marks with Grade C. Attendance stands at 75.27 percent. Participates in Music as an extracurricular activity.
Student S18182 named Alison Davis, age 10, gender Female, is in Class 9. Scored 41 in Math, 31 in Science, 50 in English, 36 in History, and 80 in Computer, totaling 238 marks with Grade D. Attendance stands at 91.73 percent. Participates in Dance as an extracurricular activity.
Student S18183 named Colleen Hicks, age 16, gender Male, is in Class 9. Scored 59 in Math, 65 in Science, 66 in English, 46 in History, and 33 in Computer, totaling 269 marks with Grade D. Attendance stands at 61.92 percent. Participates in Music as an extracurricular activity.
Student S18186 named Christopher Nelson, age 13, gender Female, is in Class 9. Scored 73 in Math, 69 in Science, 42 in English, 86 in History, and 86 in Computer, totaling 356 marks with Grade C. Attendance stands at 69.42 percent. Participates in Drama as an extracurricular activity.
Student S18196 named Mark Keller, age 12, gender Female, is in Class 9. Scored 98 in Math, 69 in Science, 58 in English, 46 in History, and 73 in Computer, totaling 344 marks with Grade C. Attendance stands at 95.44 percent. Participates in Football as an extracurricular activity.
Student S18212 named Jacob Mcclain, age 16, gender Male, is in Class 9. Scored 63 in Math, 73 in Science, 84 in English, 85 in History, and 80 in Computer, totaling 385 marks with Grade C. Attendance stands at 60.92 percent. Participates in None as an extracurricular activity.
Student S18223 named Casey Jones, age 16, gender Male, is in Class 9. Scored 96 in Math, 47 in Science, 44 in English, 46 in History, and 88 in Computer, totaling 321 marks with Grade C. Attendance stands at 94.98 percent. Participates in Music as an extracurricular activity.
Student S18226 named Marisa Curtis, age 13, gender Male, is in Class 9. Scored 32 in Math, 74 in Science, 80 in English, 97 in History, and 92 in Computer, totaling 375 marks with Grade C. Attendance stands at 75.77 percent. Participates in Drama as an extracurricular activity.
Student S18254 named David Torres, age 12, gender Male, is in Class 9. Scored 62 in Math, 54 in Science, 50 in English, 66 in History, and 31 in Computer, totaling 263 marks with Grade D. Attendance stands at 61.75 percent. Participates in Debate as an extracurricular activity.
Student S18255 named Michael Berg, age 13, gender Female, is in Class 9. Scored 43 in Math, 45 in Science, 50 in English, 43 in History, and 38 in Computer, totaling 219 marks with Grade D. Attendance stands at 86.54 percent. Participates in Music as an extracurricular activity.
