Student S10002 named Christopher Taylor, age 17, gender Male, is in Class 7. Scored 71 in Math, 59 in Science, 30 in English, 88 in History, and 94 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.95 percent. Participates in Music as an extracurricular activity.
Student S17430 named Sara Allen, age 10, gender Male, is in Class 7. Scored 68 in Math, 35 in Science, 48 in English, 33 in History, and 55 in Computer, totaling 239 marks with Grade D. Attendance stands at 67.67 percent. Participates in Music as an extracurricular activity.
Student S17445 named Tyrone Jones, age 15, gender Female, is in Class 7. Scored 90 in Math, 43 in Science, 41 in English, 82 in History, and 39 in Computer, totaling 295 marks with Grade D. Attendance stands at 77.20 percent. Participates in Debate as an extracurricular activity.
Student S17450 named Maria Anderson, age 17, gender Male, is in Class 7. Scored 45 in Math, 32 in Science, 68 in English, 49 in History, and 43 in Computer, totaling 237 marks with Grade D. Attendance stands at 72.80 percent. Participates in Debate as an extracurricular activity.
Student S17472 named Desiree Rios, age 17, gender Male, is in Class 7. Scored 64 in Math, 38 in Science, 63 in English, 97 in History, and 94 in Computer, totaling 356 marks with Grade C. Attendance stands at 95.59 percent. Participates in Music as an extracurricular activity.
Student S17483 named Robert Lowe, age 16, gender Male, is in Class 7. Scored 48 in Math, 57 in Science, 43 in English, 80 in History, and 43 in Computer, totaling 271 marks with Grade D. Attendance stands at 79.53 percent. Participates in Football as an extracurricular activity.
Student S17494 named Kelsey Madden, age 12, gender Male, is in Class 7. Scored 76 in Math, 85 in Science, 88 in English, 56 in History, and 81 in Computer, totaling 386 marks with Grade C. Attendance stands at 81.36 percent. Participates in Football as an extracurricular activity.
Student S17501 named Brenda Ortiz, age 11, gender Female, is in Class 7. Scored 52 in Math, 37 in Science, 97 in English, 72 in History, and 59 in Computer, totaling 317 marks with Grade C. Attendance stands at 97.34 percent. Participates in Football as an extracurricular activity.
Student S17516 named Ryan Green, age 14, gender Female, is in Class 7. Scored 53 in Math, 80 in Science, 79 in English, 80 in History, and 85 in Computer, totaling 377 marks with Grade C. Attendance stands at 64.46 percent. Participates in Debate as an extracurricular activity.
Student S17522 named Keith Orozco, age 17, gender Female, is in Class 7. Scored 69 in Math, 80 in Science, 96 in English, 33 in History, and 82 in Computer, totaling 360 marks with Grade C. Attendance stands at 70.63 percent. Participates in Football as an extracurricular activity.
Student S17539 named Kristina Herring, age 14, gender Male, is in Class 7. Scored 59 in Math, 69 in Science, 58 in English, 97 in History, and 38 in Computer, totaling 321 marks with Grade C. Attendance stands at 81.60 percent. Participates in Music as an extracurricular activity.
Student S17542 named Dr. Susan Ross, age 17, gender Female, is in Class 7. Scored 52 in Math, 71 in Science, 72 in English, 98 in History, and 86 in Computer, totaling 379 marks with Grade C. Attendance stands at 81.35 percent. Participates in Football as an extracurricular activity.
Student S17544 named Miss Jennifer Willis, age 10, gender Male, is in Class 7. Scored 86 in Math, 39 in Science, 55 in English, 56 in History, and 77 in Computer, totaling 313 marks with Grade C. Attendance stands at 71.29 percent. Participates in Football as an extracurricular activity.
Student S17554 named Melissa Villa, age 13, gender Female, is in Class 7. Scored 73 in Math, 99 in Science, 77 in English, 87 in History, and 97 in Computer, totaling 433 marks with Grade B. Attendance stands at 94.57 percent. Participates in Dance as an extracurricular activity.
Student S17569 named Raymond Wilson, age 17, gender Female, is in Class 7. Scored 77 in Math, 58 in Science, 74 in English, 66 in History, and 52 in Computer, totaling 327 marks with Grade C. Attendance stands at 83.04 percent. Participates in Debate as an extracurricular activity.
Student S17576 named Steven Baker, age 17, gender Male, is in Class 7. Scored 70 in Math, 71 in Science, 68 in English, 54 in History, and 91 in Computer, totaling 354 marks with Grade C. Attendance stands at 80.81 percent. Participates in Debate as an extracurricular activity.
Student S17595 named Sarah Rangel, age 12, gender Female, is in Class 7. Scored 74 in Math, 40 in Science, 95 in English, 96 in History, and 89 in Computer, totaling 394 marks with Grade C. Attendance stands at 96.58 percent. Participates in Debate as an extracurricular activity.
Student S17634 named Tina Rios, age 11, gender Male, is in Class 7. Scored 96 in Math, 97 in Science, 33 in English, 72 in History, and 76 in Computer, totaling 374 marks with Grade C. Attendance stands at 88.11 percent. Participates in Football as an extracurricular activity.
Student S17639 named Meredith Roy, age 13, gender Male, is in Class 7. Scored 97 in Math, 81 in Science, 70 in English, 97 in History, and 37 in Computer, totaling 382 marks with Grade C. Attendance stands at 61.69 percent. Participates in Music as an extracurricular activity.
Student S17653 named Donna Lewis, age 14, gender Female, is in Class 7. Scored 74 in Math, 61 in Science, 35 in English, 98 in History, and 46 in Computer, totaling 314 marks with Grade C. Attendance stands at 70.73 percent. Participates in Drama as an extracurricular activity.
Student S17659 named Robert Peterson, age 12, gender Male, is in Class 7. Scored 45 in Math, 88 in Science, 32 in English, 82 in History, and 43 in Computer, totaling 290 marks with Grade D. Attendance stands at 91.64 percent. Participates in Music as an extracurricular activity.
Student S17662 named Cory Simpson, age 12, gender Male, is in Class 7. Scored 82 in Math, 95 in Science, 94 in English, 98 in History, and 78 in Computer, totaling 447 marks with Grade B. Attendance stands at 92.42 percent. Participates in Football as an extracurricular activity.
Student S17665 named Eric Harrison, age 12, gender Male, is in Class 7. Scored 39 in Math, 76 in Science, 98 in English, 56 in History, and 97 in Computer, totaling 366 marks with Grade C. Attendance stands at 74.12 percent. Participates in Music as an extracurricular activity.
Student S17670 named Sandy Maddox, age 11, gender Male, is in Class 7. Scored 80 in Math, 55 in Science, 45 in English, 69 in History, and 99 in Computer, totaling 348 marks with Grade C. Attendance stands at 89.94 percent. Participates in Football as an extracurricular activity.
Student S17673 named Ashley Thompson, age 17, gender Male, is in Class 7. Scored 41 in Math, 91 in Science, 31 in English, 88 in History, and 50 in Computer, totaling 301 marks with Grade C. Attendance stands at 83.68 percent. Participates in Football as an extracurricular activity.
Student S17675 named Austin Turner, age 12, gender Female, is in Class 7. Scored 47 in Math, 60 in Science, 72 in English, 82 in History, and 79 in Computer, totaling 340 marks with Grade C. Attendance stands at 97.49 percent. Participates in Music as an extracurricular activity.
Student S17681 named Jerry Wolfe, age 11, gender Female, is in Class 7. Scored 86 in Math, 65 in Science, 32 in English, 58 in History, and 65 in Computer, totaling 306 marks with Grade C. Attendance stands at 81.99 percent. Participates in Dance as an extracurricular activity.
Student S17686 named Lisa Morgan, age 17, gender Male, is in Class 7. Scored 86 in Math, 55 in Science, 83 in English, 30 in History, and 30 in Computer, totaling 284 marks with Grade D. Attendance stands at 78.51 percent. Participates in Drama as an extracurricular activity.
Student S17698 named Kelli Rios, age 11, gender Female, is in Class 7. Scored 70 in Math, 66 in Science, 50 in English, 38 in History, and 95 in Computer, totaling 319 marks with Grade C. Attendance stands at 93.29 percent. Participates in Music as an extracurricular activity.
Student S17705 named Amanda Bates, age 11, gender Female, is in Class 7. Scored 45 in Math, 92 in Science, 32 in English, 48 in History, and 83 in Computer, totaling 300 marks with Grade D. Attendance stands at 80.09 percent. Participates in Dance as an extracurricular activity.
Student S17717 named Deanna Young, age 10, gender Male, is in Class 7. Scored 96 in Math, 72 in Science, 72 in English, 52 in History, and 74 in Computer, totaling 366 marks with Grade C. Attendance stands at 65.42 percent. Participates in Music as an extracurricular activity.
Student S17718 named Derek Davis, age 10, gender Male, is in Class 7. Scored 41 in Math, 63 in Science, 33 in English, 68 in History, and 43 in Computer, totaling 248 marks with Grade D. Attendance stands at 74.37 percent. Participates in Music as an extracurricular activity.
Student S17731 named Kayla George, age 10, gender Female, is in Class 7. Scored 58 in Math, 94 in Science, 41 in English, 62 in History, and 50 in Computer, totaling 305 marks with Grade C. Attendance stands at 75.95 percent. Participates in Football as an extracurricular activity.
Student S17735 named Stephanie Brown, age 10, gender Female, is in Class 7. Scored 46 in Math, 42 in Science, 48 in English, 33 in History, and 51 in Computer, totaling 220 marks with Grade D. Attendance stands at 72.05 percent. Participates in Dance as an extracurricular activity.
Student S17762 named Caleb Bailey, age 12, gender Female, is in Class 7. Scored 51 in Math, 82 in Science, 56 in English, 56 in History, and 76 in Computer, totaling 321 marks with Grade C. Attendance stands at 79.12 percent. Participates in Debate as an extracurricular activity.
Student S17783 named Lisa Davis, age 14, gender Male, is in Class 7. Scored 46 in Math, 78 in Science, 90 in English, 66 in History, and 91 in Computer, totaling 371 marks with Grade C. Attendance stands at 93.22 percent. Participates in Drama as an extracurricular activity.
Student S17789 named Rachel Cruz, age 17, gender Male, is in Class 7. Scored 54 in Math, 59 in Science, 84 in English, 86 in History, and 31 in Computer, totaling 314 marks with Grade C. Attendance stands at 77.01 percent. Participates in Drama as an extracurricular activity.
Student S17805 named Mr. Norman Ramirez, age 16, gender Male, is in Class 7. Scored 60 in Math, 99 in Science, 67 in English, 48 in History, and 35 in Computer, totaling 309 marks with Grade C. Attendance stands at 98.49 percent. Participates in Music as an extracurricular activity.
Student S17807 named Monica Salazar, age 15, gender Male, is in Class 7. Scored 62 in Math, 50 in Science, 80 in English, 66 in History, and 44 in Computer, totaling 302 marks with Grade C. Attendance stands at 79.70 percent. Participates in Dance as an extracurricular activity.
Student S17811 named Rick Taylor, age 16, gender Female, is in Class 7. Scored 59 in Math, 50 in Science, 75 in English, 95 in History, and 66 in Computer, totaling 345 marks with Grade C. Attendance stands at 70.53 percent. Participates in Dance as an extracurricular activity.
Student S17816 named Gloria Crane, age 14, gender Female, is in Class 7. Scored 75 in Math, 71 in Science, 30 in English, 79 in History, and 78 in Computer, totaling 333 marks with Grade C. Attendance stands at 78.46 percent. Participates in Music as an extracurricular activity.
Student S17820 named Felicia Jackson, age 12, gender Female, is in Class 7. Scored 40 in Math, 87 in Science, 74 in English, 82 in History, and 31 in Computer, totaling 314 marks with Grade C. Attendance stands at 69.95 percent. Participates in Drama as an extracurricular activity.
Student S17825 named Joseph Patterson, age 16, gender Male, is in Class 7. Scored 31 in Math, 63 in Science, 96 in English, 81 in History, and 45 in Computer, totaling 316 marks with Grade C. Attendance stands at 68.72 percent. Participates in Drama as an extracurricular activity.
Student S17834 named Deborah Lopez, age 13, gender Female, is in Class 7. Scored 67 in Math, 75 in Science, 34 in English, 57 in History, and 53 in Computer, totaling 286 marks with Grade D. Attendance stands at 95.55 percent. Participates in Music as an extracurricular activity.
Student S17839 named John Brooks, age 14, gender Female, is in Class 7. Scored 79 in Math, 78 in Science, 82 in English, 89 in History, and 75 in Computer, totaling 403 marks with Grade B. Attendance stands at 60.89 percent. Participates in Dance as an extracurricular activity.
Student S17854 named Daisy Miller, age 15, gender Female, is in Class 7. Scored 37 in Math, 55 in Science, 81 in English, 72 in History, and 70 in Computer, totaling 315 marks with Grade C. Attendance stands at 97.96 percent. Participates in Music as an extracurricular activity.
Student S17866 named Courtney White, age 11, gender Female, is in Class 7. Scored 62 in Math, 37 in Science, 47 in English, 57 in History, and 89 in Computer, totaling 292 marks with Grade D. Attendance stands at 76.87 percent. Participates in Football as an extracurricular activity.
Student S17889 named Amy Frazier, age 10, gender Female, is in Class 7. Scored 72 in Math, 46 in Science, 69 in English, 49 in History, and 62 in Computer, totaling 298 marks with Grade D. Attendance stands at 61.79 percent. Participates in None as an extracurricular activity.
Student S17897 named Michael Roth, age 13, gender Female, is in Class 7. Scored 41 in Math, 86 in Science, 32 in English, 58 in History, and 94 in Computer, totaling 311 marks with Grade C. Attendance stands at 61.63 percent. Participates in Dance as an extracurricular activity.
Student S17902 named Margaret Garcia, age 14, gender Female, is in Class 7. Scored 55 in Math, 43 in Science, 79 in English, 63 in History, and 49 in Computer, totaling 289 marks with Grade D. Attendance stands at 83.36 percent. Participates in Dance as an extracurricular activity.
Student S17906 named Jennifer Williams, age 14, gender Female, is in Class 7. Scored 69 in Math, 70 in Science, 94 in English, 72 in History, and 54 in Computer, totaling 359 marks with Grade C. Attendance stands at 70.64 percent. Participates in Debate as an extracurricular activity.
Student S17914 named Patrick Lawson, age 17, gender Male, is in Class 7. Scored 78 in Math, 38 in Science, 78 in English, 52 in History, and 87 in Computer, totaling 333 marks with Grade C. Attendance stands at 95.88 percent. Participates in None as an extracurricular activity.
Student S17915 named Corey Rangel, age 12, gender Female, is in Class 7. Scored 68 in Math, 33 in Science, 44 in English, 82 in History, and 54 in Computer, totaling 281 marks with Grade D. Attendance stands at 68.11 percent. Participates in Dance as an extracurricular activity.
Student S17932 named Hannah Manning, age 15, gender Female, is in Class 7. Scored 97 in Math, 51 in Science, 44 in English, 93 in History, and 34 in Computer, totaling 319 marks with Grade C. Attendance stands at 81.97 percent. Participates in Music as an extracurricular activity.
Student S17933 named Rebecca Norris, age 10, gender Female, is in Class 7. Scored 79 in Math, 72 in Science, 51 in English, 91 in History, and 33 in Computer, totaling 326 marks with Grade C. Attendance stands at 87.52 percent. Participates in Football as an extracurricular activity.
Student S17943 named Dennis Jennings, age 13, gender Male, is in Class 7. Scored 45 in Math, 58 in Science, 81 in English, 96 in History, and 43 in Computer, totaling 323 marks with Grade C. Attendance stands at 93.10 percent. Participates in Drama as an extracurricular activity.
Student S17945 named David Michael, age 13, gender Male, is in Class 7. Scored 81 in Math, 67 in Science, 79 in English, 35 in History, and 78 in Computer, totaling 340 marks with Grade C. Attendance stands at 90.04 percent. Participates in Drama as an extracurricular activity.
Student S17968 named Anthony Jackson, age 12, gender Female, is in Class 7. Scored 78 in Math, 35 in Science, 48 in English, 84 in History, and 33 in Computer, totaling 278 marks with Grade D. Attendance stands at 89.73 percent. Participates in Football as an extracurricular activity.
Student S17969 named Michael Green, age 13, gender Male, is in Class 7. Scored 41 in Math, 89 in Science, 75 in English, 41 in History, and 99 in Computer, totaling 345 marks with Grade C. Attendance stands at 75.90 percent. Participates in Music as an extracurricular activity.
Student S17971 named Roger Allen, age 11, gender Male, is in Class 7. Scored 50 in Math, 62 in Science, 33 in English, 51 in History, and 77 in Computer, totaling 273 marks with Grade D. Attendance stands at 65.01 percent. Participates in Debate as an extracurricular activity.
Student S17972 named Tina Morales, age 15, gender Female, is in Class 7. Scored 36 in Math, 37 in Science, 31 in English, 61 in History, and 43 in Computer, totaling 208 marks with Grade D. Attendance stands at 92.75 percent. Participates in None as an extracurricular activity.
Student S17975 named Megan Collier, age 11, gender Male, is in Class 7. Scored 43 in Math, 89 in Science, 53 in English, 77 in History, and 67 in Computer, totaling 329 marks with Grade C. Attendance stands at 92.45 percent. Participates in Debate as an extracurricular activity.
Student S17982 named Rebecca Meadows, age 17, gender Male, is in Class 7. Scored 92 in Math, 31 in Science, 67 in English, 90 in History, and 56 in Computer, totaling 336 marks with Grade C. Attendance stands at 79.06 percent. Participates in Debate as an extracurricular activity.
Student S17984 named Erik Richard, age 14, gender Female, is in Class 7. Scored 34 in Math, 86 in Science, 34 in English, 95 in History, and 66 in Computer, totaling 315 marks with Grade C. Attendance stands at 85.56 percent. Participates in Football as an extracurricular activity.
Student S17988 named Samantha Moreno, age 10, gender Female, is in Class 7. Scored 75 in Math, 34 in Science, 72 in English, 66 in History, and 42 in Computer, totaling 289 marks with Grade D. Attendance stands at 85.25 percent. Participates in Drama as an extracurricular activity.
Student S17992 named Emily Smith, age 14, gender Male, is in Class 7. Scored 47 in Math, 35 in Science, 55 in English, 97 in History, and 53 in Computer, totaling 287 marks with Grade D. Attendance stands at 71.34 percent. Participates in Debate as an extracurricular activity.
Student S17993 named Alexis Wallace, age 11, gender Female, is in Class 7. Scored 49 in Math, 43 in Science, 41 in English, 90 in History, and 69 in Computer, totaling 292 marks with Grade D. Attendance stands at 87.64 percent. Participates in Dance as an extracurricular activity.
Student S17996 named Roger White, age 14, gender Male, is in Class 7. Scored 61 in Math, 84 in Science, 84 in English, 76 in History, and 59 in Computer, totaling 364 marks with Grade C. Attendance stands at 73.79 percent. Participates in None as an extracurricular activity.
Student S18000 named Zachary Jordan, age 13, gender Female, is in Class 7. Scored 45 in Math, 32 in Science, 78 in English, 97 in History, and 44 in Computer, totaling 296 marks with Grade D. Attendance stands at 87.75 percent. Participates in Dance as an extracurricular activity.
Student S18006 named Deanna Miles, age 16, gender Male, is in Class 7. Scored 50 in Math, 59 in Science, 59 in English, 38 in History, and 47 in Computer, totaling 253 marks with Grade D. Attendance stands at 79.62 percent. Participates in None as an extracurricular activity.
Student S18008 named Norma Williams, age 15, gender Female, is in Class 7. Scored 45 in Math, 84 in Science, 99 in English, 98 in History, and 42 in Computer, totaling 368 marks with Grade C. Attendance stands at 95.07 percent. Participates in None as an extracurricular activity.
Student S18011 named James Macdonald, age 16, gender Male, is in Class 7. Scored 40 in Math, 60 in Science, 98 in English, 86 in History, and 77 in Computer, totaling 361 marks with Grade C. Attendance stands at 89.00 percent. Participates in Dance as an extracurricular activity.
Student S18014 named Gregory Miller, age 14, gender Male, is in Class 7. Scored 79 in Math, 60 in Science, 53 in English, 33 in History, and 49 in Computer, totaling 274 marks with Grade D. Attendance stands at 77.41 percent. Participates in None as an extracurricular activity.
Student S18017 named Ashley Woods, age 17, gender Female, is in Class 7. Scored 93 in Math, 98 in Science, 81 in English, 97 in History, and 86 in Computer, totaling 455 marks with Grade A. Attendance stands at 73.09 percent. Participates in Football as an extracurricular activity.
Student S18031 named Hector Rodriguez, age 16, gender Male, is in Class 7. Scored 81 in Math, 37 in Science, 75 in English, 33 in History, and 55 in Computer, totaling 281 marks with Grade D. Attendance stands at 62.86 percent. Participates in Debate as an extracurricular activity.
Student S18037 named Barry West, age 14, gender Female, is in Class 7. Scored 74 in Math, 46 in Science, 66 in English, 58 in History, and 58 in Computer, totaling 302 marks with Grade C. Attendance stands at 76.75 percent. Participates in Dance as an extracurricular activity.
Student S18050 named Daniel Rodriguez, age 11, gender Male, is in Class 7. Scored 37 in Math, 34 in Science, 81 in English, 73 in History, and 62 in Computer, totaling 287 marks with Grade D. Attendance stands at 92.72 percent. Participates in Dance as an extracurricular activity.
Student S18064 named Nicole Houston, age 10, gender Female, is in Class 7. Scored 55 in Math, 82 in Science, 93 in English, 57 in History, and 92 in Computer, totaling 379 marks with Grade C. Attendance stands at 85.47 percent. Participates in Music as an extracurricular activity.
Student S18065 named Jamie Davis, age 17, gender Male, is in Class 7. Scored 83 in Math, 65 in Science, 45 in English, 31 in History, and 65 in Computer, totaling 289 marks with Grade D. Attendance stands at 96.69 percent. Participates in Football as an extracurricular activity.
Student S18075 named Krista Chase, age 17, gender Male, is in Class 7. Scored 47 in Math, 93 in Science, 74 in English, 59 in History, and 50 in Computer, totaling 323 marks with Grade C. Attendance stands at 79.33 percent. Participates in Football as an extracurricular activity.
Student S18100 named Richard Hunter, age 14, gender Male, is in Class 7. Scored 54 in Math, 61 in Science, 82 in English, 44 in History, and 40 in Computer, totaling 281 marks with Grade D. Attendance stands at 83.89 percent. Participates in None as an extracurricular activity.
Student S18108 named Jacob Welch, age 12, gender Male, is in Class 7. Scored 68 in Math, 31 in Science, 70 in English, 94 in History, and 35 in Computer, totaling 298 marks with Grade D. Attendance stands at 92.94 percent. Participates in Debate as an extracurricular activity.
Student S18113 named Eduardo Evans, age 15, gender Male, is in Class 7. Scored 75 in Math, 98 in Science, 40 in English, 82 in History, and 36 in Computer, totaling 331 marks with Grade C. Attendance stands at 69.49 percent. Participates in Drama as an extracurricular activity.
Student S18116 named Timothy Travis, age 17, gender Male, is in Class 7. Scored 69 in Math, 65 in Science, 82 in English, 77 in History, and 90 in Computer, totaling 383 marks with Grade C. Attendance stands at 65.49 percent. Participates in Dance as an extracurricular activity.
Student S18118 named Seth Hensley, age 14, gender Female, is in Class 7. Scored 74 in Math, 33 in Science, 66 in English, 30 in History, and 88 in Computer, totaling 291 marks with Grade D. Attendance stands at 94.59 percent. Participates in Football as an extracurricular activity.
Student S18125 named Tracy Duncan, age 13, gender Male, is in Class 7. Scored 52 in Math, 86 in Science, 91 in English, 55 in History, and 72 in Computer, totaling 356 marks with Grade C. Attendance stands at 69.39 percent. Participates in None as an extracurricular activity.
Student S18139 named Dennis Barnes, age 13, gender Male, is in Class 7. Scored 45 in Math, 92 in Science, 31 in English, 59 in History, and 35 in Computer, totaling 262 marks with Grade D. Attendance stands at 64.46 percent. Participates in Music as an extracurricular activity.
Student S18149 named Darren Davis, age 13, gender Female, is in Class 7. Scored 62 in Math, 63 in Science, 78 in English, 33 in History, and 95 in Computer, totaling 331 marks with Grade C. Attendance stands at 84.21 percent. Participates in Music as an extracurricular activity.
Student S18158 named Crystal Paul, age 11, gender Male, is in Class 7. Scored 58 in Math, 74 in Science, 73 in English, 77 in History, and 89 in Computer, totaling 371 marks with Grade C. Attendance stands at 79.11 percent. Participates in None as an extracurricular activity.
Student S18166 named Robert Pena, age 14, gender Female, is in Class 7. Scored 56 in Math, 72 in Science, 80 in English, 48 in History, and 52 in Computer, totaling 308 marks with Grade C. Attendance stands at 84.53 percent. Participates in Drama as an extracurricular activity.
Student S18167 named Kelly Prince, age 16, gender Female, is in Class 7. Scored 70 in Math, 38 in Science, 43 in English, 41 in History, and 95 in Computer, totaling 287 marks with Grade D. Attendance stands at 82.82 percent. Participates in Dance as an extracurricular activity.
Student S18184 named Meghan Gutierrez, age 17, gender Female, is in Class 7. Scored 47 in Math, 55 in Science, 57 in English, 43 in History, and 53 in Computer, totaling 255 marks with Grade D. Attendance stands at 89.05 percent. Participates in Dance as an extracurricular activity.
Student S18203 named Christopher Mack, age 14, gender Female, is in Class 7. Scored 46 in Math, 36 in Science, 73 in English, 41 in History, and 95 in Computer, totaling 291 marks with Grade D. Attendance stands at 95.87 percent. Participates in Football as an extracurricular activity.
Student S18204 named Crystal Harding, age 14, gender Male, is in Class 7. Scored 33 in Math, 98 in Science, 62 in English, 91 in History, and 71 in Computer, totaling 355 marks with Grade C. Attendance stands at 65.84 percent. Participates in Dance as an extracurricular activity.
Student S18218 named Jose Allen, age 14, gender Female, is in Class 7. Scored 35 in Math, 44 in Science, 70 in English, 51 in History, and 33 in Computer, totaling 233 marks with Grade D. Attendance stands at 84.84 percent. Participates in Football as an extracurricular activity.
Student S18219 named Jenny Neal PhD, age 16, gender Male, is in Class 7. Scored 44 in Math, 98 in Science, 67 in English, 30 in History, and 83 in Computer, totaling 322 marks with Grade C. Attendance stands at 98.18 percent. Participates in Debate as an extracurricular activity.
Student S18221 named Tiffany Carson, age 13, gender Female, is in Class 7. Scored 92 in Math, 56 in Science, 88 in English, 90 in History, and 93 in Computer, totaling 419 marks with Grade B. Attendance stands at 60.74 percent. Participates in Music as an extracurricular activity.
Student S18225 named Jillian White, age 12, gender Male, is in Class 7. Scored 87 in Math, 89 in Science, 52 in English, 34 in History, and 66 in Computer, totaling 328 marks with Grade C. Attendance stands at 85.84 percent. Participates in Music as an extracurricular activity.
Student S18228 named Lindsay Leonard, age 15, gender Male, is in Class 7. Scored 91 in Math, 65 in Science, 96 in English, 81 in History, and 49 in Computer, totaling 382 marks with Grade C. Attendance stands at 93.90 percent. Participates in Football as an extracurricular activity.
Student S18238 named Ryan English, age 11, gender Female, is in Class 7. Scored 50 in Math, 82 in Science, 37 in English, 49 in History, and 57 in Computer, totaling 275 marks with Grade D. Attendance stands at 84.81 percent. Participates in Football as an extracurricular activity.
Student S18244 named Taylor Banks, age 16, gender Female, is in Class 7. Scored 91 in Math, 37 in Science, 59 in English, 53 in History, and 72 in Computer, totaling 312 marks with Grade C. Attendance stands at 78.38 percent. Participates in None as an extracurricular activity.
Student S18246 named Krystal Decker, age 13, gender Male, is in Class 7. Scored 39 in Math, 95 in Science, 64 in English, 81 in History, and 72 in Computer, totaling 351 marks with Grade C. Attendance stands at 99.15 percent. Participates in Music as an extracurricular activity.
Student S18248 named John Swanson, age 13, gender Male, is in Class 7. Scored 67 in Math, 98 in Science, 38 in English, 47 in History, and 43 in Computer, totaling 293 marks with Grade D. Attendance stands at 96.01 percent. Participates in None as an extracurricular activity.
Student S18260 named Kimberly Foster PhD, age 13, gender Female, is in Class 7. Scored 48 in Math, 89 in Science, 40 in English, 45 in History, and 84 in Computer, totaling 306 marks with Grade C. Attendance stands at 68.64 percent. Participates in Football as an extracurricular activity.
Student S18269 named Colleen Wilson, age 14, gender Female, is in Class 7. Scored 82 in Math, 63 in Science, 83 in English, 89 in History, and 58 in Computer, totaling 375 marks with Grade C. Attendance stands at 86.37 percent. Participates in Dance as an extracurricular activity.
Student S18280 named Christopher Frost, age 11, gender Male, is in Class 7. Scored 48 in Math, 52 in Science, 86 in English, 31 in History, and 63 in Computer, totaling 280 marks with Grade D. Attendance stands at 80.90 percent. Participates in Debate as an extracurricular activity.
Student S18289 named Erin Robles, age 15, gender Female, is in Class 7. Scored 98 in Math, 31 in Science, 60 in English, 76 in History, and 68 in Computer, totaling 333 marks with Grade C. Attendance stands at 67.48 percent. Participates in Debate as an extracurricular activity.
Student S18301 named Heather Leblanc, age 11, gender Male, is in Class 7. Scored 53 in Math, 61 in Science, 80 in English, 64 in History, and 90 in Computer, totaling 348 marks with Grade C. Attendance stands at 64.05 percent. Participates in None as an extracurricular activity.
Student S18314 named Michelle Welch, age 13, gender Female, is in Class 7. Scored 53 in Math, 92 in Science, 59 in English, 49 in History, and 91 in Computer, totaling 344 marks with Grade C. Attendance stands at 81.00 percent. Participates in Football as an extracurricular activity.
Student S18316 named James Bailey, age 15, gender Female, is in Class 7. Scored 68 in Math, 61 in Science, 32 in English, 63 in History, and 36 in Computer, totaling 260 marks with Grade D. Attendance stands at 92.96 percent. Participates in None as an extracurricular activity.
Student S18319 named Justin Owens, age 12, gender Female, is in Class 7. Scored 46 in Math, 85 in Science, 95 in English, 36 in History, and 75 in Computer, totaling 337 marks with Grade C. Attendance stands at 73.12 percent. Participates in Music as an extracurricular activity.
Student S18322 named Tyler Warner, age 13, gender Male, is in Class 7. Scored 74 in Math, 92 in Science, 84 in English, 39 in History, and 39 in Computer, totaling 328 marks with Grade C. Attendance stands at 78.25 percent. Participates in Drama as an extracurricular activity.
Student S18327 named Andrew Wiggins, age 15, gender Female, is in Class 7. Scored 99 in Math, 60 in Science, 61 in English, 92 in History, and 66 in Computer, totaling 378 marks with Grade C. Attendance stands at 72.83 percent. Participates in None as an extracurricular activity.
Student S18349 named Teresa Wright, age 15, gender Female, is in Class 7. Scored 31 in Math, 65 in Science, 44 in English, 94 in History, and 80 in Computer, totaling 314 marks with Grade C. Attendance stands at 97.11 percent. Participates in Debate as an extracurricular activity.
Student S18357 named Tamara Brown, age 16, gender Male, is in Class 7. Scored 50 in Math, 70 in Science, 41 in English, 69 in History, and 40 in Computer, totaling 270 marks with Grade D. Attendance stands at 80.84 percent. Participates in Drama as an extracurricular activity.
Student S18362 named Derek White, age 11, gender Male, is in Class 7. Scored 42 in Math, 99 in Science, 52 in English, 68 in History, and 45 in Computer, totaling 306 marks with Grade C. Attendance stands at 83.47 percent. Participates in Debate as an extracurricular activity.
Student S18365 named Mark Williams, age 12, gender Male, is in Class 7. Scored 75 in Math, 40 in Science, 89 in English, 37 in History, and 39 in Computer, totaling 280 marks with Grade D. Attendance stands at 93.59 percent. Participates in Music as an extracurricular activity.
Student S18372 named Wanda Hall, age 13, gender Male, is in Class 7. Scored 54 in Math, 77 in Science, 86 in English, 99 in History, and 37 in Computer, totaling 353 marks with Grade C. Attendance stands at 83.47 percent. Participates in Debate as an extracurricular activity.
Student S18377 named Kristina White, age 15, gender Female, is in Class 7. Scored 95 in Math, 39 in Science, 51 in English, 66 in History, and 98 in Computer, totaling 349 marks with Grade C. Attendance stands at 79.06 percent. Participates in Football as an extracurricular activity.
Student S18380 named Sandra Smith DDS, age 14, gender Female, is in Class 7. Scored 83 in Math, 87 in Science, 62 in English, 34 in History, and 68 in Computer, totaling 334 marks with Grade C. Attendance stands at 61.07 percent. Participates in Drama as an extracurricular activity.
Student S18394 named Kyle Pierce, age 14, gender Female, is in Class 7. Scored 70 in Math, 63 in Science, 94 in English, 30 in History, and 42 in Computer, totaling 299 marks with Grade D. Attendance stands at 91.10 percent. Participates in Music as an extracurricular activity.
