Student S10012 named Joseph Smith, age 12, gender Female, is in Class 10. Scored 83 in Math, 84 in Science, 37 in English, 75 in History, and 87 in Computer, totaling 366 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S18140 named Mrs. Judy Mendoza, age 13, gender Male, is in Class 10. Scored 92 in Math, 98 in Science, 58 in English, 71 in History, and 43 in Computer, totaling 362 marks with Grade C. Attendance stands at 62.14 percent. Participates in Debate as an extracurricular activity.
Student S18142 named Christopher Graham, age 13, gender Female, is in Class 10. Scored 35 in Math, 93 in Science, 32 in English, 67 in History, and 91 in Computer, totaling 318 marks with Grade C. Attendance stands at 70.07 percent. Participates in None as an extracurricular activity.
Student S18152 named Johnathan Price, age 16, gender Male, is in Class 10. Scored 31 in Math, 82 in Science, 40 in English, 75 in History, and 51 in Computer, totaling 279 marks with Grade D. Attendance stands at 89.98 percent. Participates in Football as an extracurricular activity.
Student S18179 named Gregory Wood, age 13, gender Female, is in Class 10. Scored 53 in Math, 71 in Science, 37 in English, 44 in History, and 58 in Computer, totaling 263 marks with Grade D. Attendance stands at 90.51 percent. Participates in Music as an extracurricular activity.
Student S18185 named Matthew Rodriguez, age 17, gender Male, is in Class 10. Scored 77 in Math, 97 in Science, 67 in English, 82 in History, and 37 in Computer, totaling 360 marks with Grade C. Attendance stands at 68.72 percent. Participates in Drama as an extracurricular activity.
Student S18192 named Angela Tran, age 15, gender Female, is in Class 10. Scored 59 in Math, 71 in Science, 47 in English, 85 in History, and 58 in Computer, totaling 320 marks with Grade C. Attendance stands at 81.68 percent. Participates in Drama as an extracurricular activity.
Student S18208 named Taylor Taylor, age 10, gender Male, is in Class 10. Scored 42 in Math, 90 in Science, 70 in English, 40 in History, and 60 in Computer, totaling 302 marks with Grade C. Attendance stands at 85.28 percent. Participates in Dance as an extracurricular activity.
Student S18214 named Dr. Ronald Smith, age 13, gender Female, is in Class 10. Scored 75 in Math, 34 in Science, 88 in English, 57 in History, and 93 in Computer, totaling 347 marks with Grade C. Attendance stands at 89.98 percent. Participates in Dance as an extracurricular activity.
Student S18227 named Travis Smith, age 14, gender Male, is in Class 10. Scored 80 in Math, 30 in Science, 73 in English, 47 in History, and 36 in Computer, totaling 266 marks with Grade D. Attendance stands at 95.61 percent. Participates in Football as an extracurricular activity.
Student S18241 named Joseph Logan, age 15, gender Female, is in Class 10. Scored 91 in Math, 80 in Science, 60 in English, 94 in History, and 90 in Computer, totaling 415 marks with Grade B. Attendance stands at 66.99 percent. Participates in Drama as an extracurricular activity.
Student S18249 named David Buchanan, age 12, gender Male, is in Class 10. Scored 96 in Math, 77 in Science, 89 in English, 79 in History, and 64 in Computer, totaling 405 marks with Grade B. Attendance stands at 67.70 percent. Participates in Drama as an extracurricular activity.
Student S18251 named Willie Johnson, age 11, gender Male, is in Class 10. Scored 76 in Math, 36 in Science, 69 in English, 57 in History, and 88 in Computer, totaling 326 marks with Grade C. Attendance stands at 72.24 percent. Participates in Drama as an extracurricular activity.
Student S18276 named James Mckee, age 12, gender Male, is in Class 10. Scored 61 in Math, 68 in Science, 70 in English, 76 in History, and 46 in Computer, totaling 321 marks with Grade C. Attendance stands at 84.86 percent. Participates in Dance as an extracurricular activity.
Student S18278 named Sabrina Gross, age 12, gender Female, is in Class 10. Scored 86 in Math, 30 in Science, 40 in English, 59 in History, and 81 in Computer, totaling 296 marks with Grade D. Attendance stands at 81.16 percent. Participates in Football as an extracurricular activity.
Student S18284 named Jason Charles, age 15, gender Female, is in Class 10. Scored 80 in Math, 37 in Science, 92 in English, 46 in History, and 52 in Computer, totaling 307 marks with Grade C. Attendance stands at 70.77 percent. Participates in None as an extracurricular activity.
Student S18293 named Corey Pratt, age 11, gender Male, is in Class 10. Scored 70 in Math, 86 in Science, 31 in English, 82 in History, and 69 in Computer, totaling 338 marks with Grade C. Attendance stands at 86.92 percent. Participates in Drama as an extracurricular activity.
Student S18307 named George Smith, age 17, gender Female, is in Class 10. Scored 68 in Math, 68 in Science, 79 in English, 48 in History, and 77 in Computer, totaling 340 marks with Grade C. Attendance stands at 74.29 percent. Participates in Music as an extracurricular activity.
Student S18325 named Mitchell Page, age 14, gender Male, is in Class 10. Scored 94 in Math, 43 in Science, 85 in English, 87 in History, and 41 in Computer, totaling 350 marks with Grade C. Attendance stands at 99.44 percent. Participates in Dance as an extracurricular activity.
Student S18330 named Mary Price, age 10, gender Male, is in Class 10. Scored 70 in Math, 92 in Science, 83 in English, 37 in History, and 78 in Computer, totaling 360 marks with Grade C. Attendance stands at 76.74 percent. Participates in Drama as an extracurricular activity.
Student S18340 named Jessica Smith, age 17, gender Female, is in Class 10. Scored 49 in Math, 65 in Science, 59 in English, 36 in History, and 49 in Computer, totaling 258 marks with Grade D. Attendance stands at 89.29 percent. Participates in Music as an extracurricular activity.
Student S18344 named Gregory Jones, age 11, gender Female, is in Class 10. Scored 55 in Math, 40 in Science, 74 in English, 44 in History, and 73 in Computer, totaling 286 marks with Grade D. Attendance stands at 94.22 percent. Participates in Music as an extracurricular activity.
Student S18352 named James Perry, age 10, gender Male, is in Class 10. Scored 50 in Math, 72 in Science, 44 in English, 86 in History, and 49 in Computer, totaling 301 marks with Grade C. Attendance stands at 77.86 percent. Participates in Dance as an extracurricular activity.
Student S18353 named James Clements, age 13, gender Female, is in Class 10. Scored 90 in Math, 50 in Science, 95 in English, 68 in History, and 68 in Computer, totaling 371 marks with Grade C. Attendance stands at 67.88 percent. Participates in Football as an extracurricular activity.
Student S18383 named Mark Vargas, age 11, gender Male, is in Class 10. Scored 60 in Math, 34 in Science, 45 in English, 97 in History, and 62 in Computer, totaling 298 marks with Grade D. Attendance stands at 71.84 percent. Participates in None as an extracurricular activity.
Student S18384 named Mark Thompson, age 11, gender Male, is in Class 10. Scored 71 in Math, 99 in Science, 76 in English, 96 in History, and 80 in Computer, totaling 422 marks with Grade B. Attendance stands at 99.02 percent. Participates in Dance as an extracurricular activity.
Student S18393 named Amber Williamson, age 16, gender Male, is in Class 10. Scored 30 in Math, 57 in Science, 35 in English, 70 in History, and 87 in Computer, totaling 279 marks with Grade D. Attendance stands at 98.96 percent. Participates in Football as an extracurricular activity.
Student S18398 named Emily Reed, age 11, gender Male, is in Class 10. Scored 37 in Math, 46 in Science, 48 in English, 35 in History, and 31 in Computer, totaling 197 marks with Grade F. Attendance stands at 87.93 percent. Participates in Debate as an extracurricular activity.
Student S18410 named Timothy Ramos, age 16, gender Male, is in Class 10. Scored 62 in Math, 83 in Science, 63 in English, 38 in History, and 40 in Computer, totaling 286 marks with Grade D. Attendance stands at 99.84 percent. Participates in Debate as an extracurricular activity.
Student S18426 named Kimberly Olson, age 12, gender Male, is in Class 10. Scored 69 in Math, 58 in Science, 45 in English, 90 in History, and 39 in Computer, totaling 301 marks with Grade C. Attendance stands at 98.40 percent. Participates in Music as an extracurricular activity.
Student S18447 named Jessica Sims, age 17, gender Female, is in Class 10. Scored 60 in Math, 30 in Science, 89 in English, 63 in History, and 85 in Computer, totaling 327 marks with Grade C. Attendance stands at 83.65 percent. Participates in Football as an extracurricular activity.
Student S18453 named Ryan Novak, age 15, gender Male, is in Class 10. Scored 42 in Math, 96 in Science, 86 in English, 76 in History, and 83 in Computer, totaling 383 marks with Grade C. Attendance stands at 64.73 percent. Participates in Music as an extracurricular activity.
Student S18467 named Carrie Simmons, age 12, gender Female, is in Class 10. Scored 30 in Math, 83 in Science, 93 in English, 86 in History, and 84 in Computer, totaling 376 marks with Grade C. Attendance stands at 65.60 percent. Participates in Football as an extracurricular activity.
Student S18478 named Anthony Becker, age 14, gender Female, is in Class 10. Scored 46 in Math, 60 in Science, 69 in English, 64 in History, and 91 in Computer, totaling 330 marks with Grade C. Attendance stands at 67.17 percent. Participates in Dance as an extracurricular activity.
Student S18481 named Heather Sanchez, age 10, gender Male, is in Class 10. Scored 34 in Math, 47 in Science, 37 in English, 67 in History, and 30 in Computer, totaling 215 marks with Grade D. Attendance stands at 75.32 percent. Participates in Dance as an extracurricular activity.
Student S18487 named Heidi Adams, age 13, gender Male, is in Class 10. Scored 37 in Math, 90 in Science, 36 in English, 68 in History, and 53 in Computer, totaling 284 marks with Grade D. Attendance stands at 97.67 percent. Participates in None as an extracurricular activity.
Student S18519 named Christopher Bennett, age 13, gender Male, is in Class 10. Scored 68 in Math, 81 in Science, 67 in English, 99 in History, and 56 in Computer, totaling 371 marks with Grade C. Attendance stands at 72.81 percent. Participates in Drama as an extracurricular activity.
Student S18528 named Shawn Lynch, age 16, gender Male, is in Class 10. Scored 35 in Math, 40 in Science, 96 in English, 51 in History, and 64 in Computer, totaling 286 marks with Grade D. Attendance stands at 97.77 percent. Participates in Drama as an extracurricular activity.
Student S18543 named Jesse Bailey, age 16, gender Male, is in Class 10. Scored 93 in Math, 44 in Science, 46 in English, 45 in History, and 62 in Computer, totaling 290 marks with Grade D. Attendance stands at 70.49 percent. Participates in None as an extracurricular activity.
Student S18561 named Christopher Pearson, age 13, gender Male, is in Class 10. Scored 67 in Math, 73 in Science, 88 in English, 51 in History, and 32 in Computer, totaling 311 marks with Grade C. Attendance stands at 82.26 percent. Participates in Music as an extracurricular activity.
Student S18587 named Noah White, age 13, gender Male, is in Class 10. Scored 50 in Math, 74 in Science, 66 in English, 90 in History, and 86 in Computer, totaling 366 marks with Grade C. Attendance stands at 96.54 percent. Participates in None as an extracurricular activity.
Student S18602 named Anna Thomas, age 14, gender Male, is in Class 10. Scored 40 in Math, 39 in Science, 49 in English, 70 in History, and 38 in Computer, totaling 236 marks with Grade D. Attendance stands at 66.75 percent. Participates in Drama as an extracurricular activity.
Student S18607 named Amanda Wolfe, age 10, gender Male, is in Class 10. Scored 79 in Math, 90 in Science, 70 in English, 92 in History, and 54 in Computer, totaling 385 marks with Grade C. Attendance stands at 89.53 percent. Participates in Music as an extracurricular activity.
Student S18609 named Vanessa Lopez, age 11, gender Female, is in Class 10. Scored 53 in Math, 80 in Science, 65 in English, 88 in History, and 70 in Computer, totaling 356 marks with Grade C. Attendance stands at 68.27 percent. Participates in Debate as an extracurricular activity.
Student S18610 named Amy Johnson, age 17, gender Male, is in Class 10. Scored 70 in Math, 92 in Science, 30 in English, 89 in History, and 99 in Computer, totaling 380 marks with Grade C. Attendance stands at 95.35 percent. Participates in None as an extracurricular activity.
Student S18614 named Michael Moreno MD, age 17, gender Male, is in Class 10. Scored 85 in Math, 94 in Science, 64 in English, 93 in History, and 33 in Computer, totaling 369 marks with Grade C. Attendance stands at 84.33 percent. Participates in Music as an extracurricular activity.
Student S18620 named Melanie Martinez, age 12, gender Female, is in Class 10. Scored 56 in Math, 55 in Science, 34 in English, 38 in History, and 43 in Computer, totaling 226 marks with Grade D. Attendance stands at 75.40 percent. Participates in Drama as an extracurricular activity.
Student S18626 named Regina Mora, age 13, gender Male, is in Class 10. Scored 88 in Math, 88 in Science, 96 in English, 53 in History, and 51 in Computer, totaling 376 marks with Grade C. Attendance stands at 89.00 percent. Participates in Dance as an extracurricular activity.
Student S18629 named Samantha Grant, age 12, gender Female, is in Class 10. Scored 36 in Math, 64 in Science, 38 in English, 40 in History, and 32 in Computer, totaling 210 marks with Grade D. Attendance stands at 91.29 percent. Participates in Drama as an extracurricular activity.
Student S18641 named Eric Stanley, age 16, gender Female, is in Class 10. Scored 82 in Math, 60 in Science, 91 in English, 33 in History, and 62 in Computer, totaling 328 marks with Grade C. Attendance stands at 73.74 percent. Participates in None as an extracurricular activity.
Student S18658 named Marcus Li, age 13, gender Female, is in Class 10. Scored 92 in Math, 43 in Science, 63 in English, 66 in History, and 68 in Computer, totaling 332 marks with Grade C. Attendance stands at 75.92 percent. Participates in Football as an extracurricular activity.
Student S18671 named Derek Frank, age 17, gender Male, is in Class 10. Scored 34 in Math, 60 in Science, 84 in English, 86 in History, and 69 in Computer, totaling 333 marks with Grade C. Attendance stands at 62.04 percent. Participates in Football as an extracurricular activity.
Student S18687 named Roy Carter, age 17, gender Male, is in Class 10. Scored 92 in Math, 31 in Science, 82 in English, 51 in History, and 44 in Computer, totaling 300 marks with Grade D. Attendance stands at 81.25 percent. Participates in Debate as an extracurricular activity.
Student S18709 named Corey Wright, age 11, gender Male, is in Class 10. Scored 52 in Math, 76 in Science, 76 in English, 47 in History, and 82 in Computer, totaling 333 marks with Grade C. Attendance stands at 90.20 percent. Participates in Football as an extracurricular activity.
Student S18713 named Jon Carr, age 13, gender Male, is in Class 10. Scored 31 in Math, 30 in Science, 97 in English, 83 in History, and 40 in Computer, totaling 281 marks with Grade D. Attendance stands at 79.57 percent. Participates in Dance as an extracurricular activity.
Student S18732 named Thomas Williams, age 10, gender Male, is in Class 10. Scored 53 in Math, 76 in Science, 97 in English, 50 in History, and 72 in Computer, totaling 348 marks with Grade C. Attendance stands at 93.62 percent. Participates in None as an extracurricular activity.
Student S18741 named Shaun Russell, age 12, gender Male, is in Class 10. Scored 48 in Math, 69 in Science, 79 in English, 82 in History, and 73 in Computer, totaling 351 marks with Grade C. Attendance stands at 88.89 percent. Participates in None as an extracurricular activity.
Student S18744 named Ronald Lopez, age 14, gender Male, is in Class 10. Scored 30 in Math, 47 in Science, 66 in English, 76 in History, and 98 in Computer, totaling 317 marks with Grade C. Attendance stands at 76.21 percent. Participates in Dance as an extracurricular activity.
Student S18759 named Allison Miller, age 16, gender Female, is in Class 10. Scored 52 in Math, 60 in Science, 90 in English, 77 in History, and 31 in Computer, totaling 310 marks with Grade C. Attendance stands at 72.11 percent. Participates in Drama as an extracurricular activity.
Student S18763 named Victoria Smith PhD, age 15, gender Female, is in Class 10. Scored 81 in Math, 87 in Science, 59 in English, 64 in History, and 96 in Computer, totaling 387 marks with Grade C. Attendance stands at 78.98 percent. Participates in Music as an extracurricular activity.
Student S18766 named Stacey Poole, age 17, gender Female, is in Class 10. Scored 59 in Math, 53 in Science, 72 in English, 93 in History, and 94 in Computer, totaling 371 marks with Grade C. Attendance stands at 73.32 percent. Participates in Music as an extracurricular activity.
Student S18767 named Lisa Robertson, age 11, gender Female, is in Class 10. Scored 77 in Math, 35 in Science, 34 in English, 92 in History, and 76 in Computer, totaling 314 marks with Grade C. Attendance stands at 66.56 percent. Participates in None as an extracurricular activity.
Student S18791 named Susan Schmidt, age 12, gender Male, is in Class 10. Scored 71 in Math, 50 in Science, 31 in English, 89 in History, and 88 in Computer, totaling 329 marks with Grade C. Attendance stands at 98.71 percent. Participates in None as an extracurricular activity.
Student S18813 named Amanda Kennedy, age 15, gender Male, is in Class 10. Scored 30 in Math, 74 in Science, 73 in English, 86 in History, and 34 in Computer, totaling 297 marks with Grade D. Attendance stands at 64.03 percent. Participates in Debate as an extracurricular activity.
Student S18815 named Steven Rodriguez MD, age 15, gender Male, is in Class 10. Scored 40 in Math, 64 in Science, 41 in English, 82 in History, and 48 in Computer, totaling 275 marks with Grade D. Attendance stands at 95.12 percent. Participates in Football as an extracurricular activity.
Student S18818 named Mark Huffman, age 17, gender Male, is in Class 10. Scored 49 in Math, 90 in Science, 48 in English, 85 in History, and 33 in Computer, totaling 305 marks with Grade C. Attendance stands at 90.04 percent. Participates in Debate as an extracurricular activity.
Student S18825 named Desiree Sanders, age 14, gender Male, is in Class 10. Scored 30 in Math, 55 in Science, 93 in English, 69 in History, and 62 in Computer, totaling 309 marks with Grade C. Attendance stands at 65.14 percent. Participates in Football as an extracurricular activity.
Student S18826 named Lori Macias MD, age 16, gender Male, is in Class 10. Scored 38 in Math, 77 in Science, 78 in English, 50 in History, and 71 in Computer, totaling 314 marks with Grade C. Attendance stands at 77.20 percent. Participates in None as an extracurricular activity.
Student S18827 named Zachary Paul, age 12, gender Male, is in Class 10. Scored 42 in Math, 79 in Science, 98 in English, 82 in History, and 65 in Computer, totaling 366 marks with Grade C. Attendance stands at 71.77 percent. Participates in Football as an extracurricular activity.
Student S18830 named Sean Ortiz, age 11, gender Female, is in Class 10. Scored 91 in Math, 68 in Science, 92 in English, 77 in History, and 93 in Computer, totaling 421 marks with Grade B. Attendance stands at 83.96 percent. Participates in Football as an extracurricular activity.
Student S18836 named Kevin Mcdonald, age 17, gender Female, is in Class 10. Scored 42 in Math, 59 in Science, 38 in English, 93 in History, and 35 in Computer, totaling 267 marks with Grade D. Attendance stands at 95.78 percent. Participates in Music as an extracurricular activity.
Student S18881 named Mercedes Shaffer, age 14, gender Female, is in Class 10. Scored 89 in Math, 39 in Science, 86 in English, 99 in History, and 63 in Computer, totaling 376 marks with Grade C. Attendance stands at 61.74 percent. Participates in Dance as an extracurricular activity.
Student S18883 named Amanda Clark, age 12, gender Male, is in Class 10. Scored 32 in Math, 93 in Science, 32 in English, 74 in History, and 81 in Computer, totaling 312 marks with Grade C. Attendance stands at 63.71 percent. Participates in Debate as an extracurricular activity.
Student S18895 named Alicia Randall, age 17, gender Male, is in Class 10. Scored 91 in Math, 83 in Science, 65 in English, 96 in History, and 98 in Computer, totaling 433 marks with Grade B. Attendance stands at 79.39 percent. Participates in Football as an extracurricular activity.
Student S18914 named Lance Bush, age 14, gender Female, is in Class 10. Scored 47 in Math, 50 in Science, 61 in English, 56 in History, and 83 in Computer, totaling 297 marks with Grade D. Attendance stands at 75.12 percent. Participates in Dance as an extracurricular activity.
Student S18917 named David Vaughan, age 14, gender Male, is in Class 10. Scored 47 in Math, 65 in Science, 45 in English, 60 in History, and 71 in Computer, totaling 288 marks with Grade D. Attendance stands at 97.74 percent. Participates in Music as an extracurricular activity.
Student S18935 named Jennifer Hensley, age 14, gender Female, is in Class 10. Scored 54 in Math, 75 in Science, 55 in English, 84 in History, and 66 in Computer, totaling 334 marks with Grade C. Attendance stands at 99.34 percent. Participates in Football as an extracurricular activity.
Student S18937 named Kathy Archer, age 16, gender Male, is in Class 10. Scored 97 in Math, 76 in Science, 66 in English, 65 in History, and 88 in Computer, totaling 392 marks with Grade C. Attendance stands at 81.24 percent. Participates in Football as an extracurricular activity.
Student S18943 named Shawn Chandler, age 17, gender Female, is in Class 10. Scored 51 in Math, 30 in Science, 35 in English, 36 in History, and 69 in Computer, totaling 221 marks with Grade D. Attendance stands at 74.87 percent. Participates in Drama as an extracurricular activity.
Student S18947 named Patricia Cox, age 15, gender Male, is in Class 10. Scored 61 in Math, 95 in Science, 63 in English, 77 in History, and 75 in Computer, totaling 371 marks with Grade C. Attendance stands at 90.14 percent. Participates in None as an extracurricular activity.
Student S18948 named Chad Martin, age 11, gender Male, is in Class 10. Scored 76 in Math, 66 in Science, 87 in English, 69 in History, and 44 in Computer, totaling 342 marks with Grade C. Attendance stands at 69.04 percent. Participates in Music as an extracurricular activity.
Student S18957 named Patricia Vazquez, age 17, gender Female, is in Class 10. Scored 74 in Math, 45 in Science, 55 in English, 61 in History, and 35 in Computer, totaling 270 marks with Grade D. Attendance stands at 74.10 percent. Participates in Football as an extracurricular activity.
Student S18961 named Brenda Sanchez, age 17, gender Female, is in Class 10. Scored 36 in Math, 88 in Science, 30 in English, 49 in History, and 36 in Computer, totaling 239 marks with Grade D. Attendance stands at 64.80 percent. Participates in Dance as an extracurricular activity.
Student S18965 named Pamela Dunn, age 13, gender Male, is in Class 10. Scored 84 in Math, 47 in Science, 48 in English, 67 in History, and 69 in Computer, totaling 315 marks with Grade C. Attendance stands at 68.37 percent. Participates in Music as an extracurricular activity.
Student S18967 named Paul Freeman, age 11, gender Male, is in Class 10. Scored 81 in Math, 68 in Science, 31 in English, 77 in History, and 80 in Computer, totaling 337 marks with Grade C. Attendance stands at 87.20 percent. Participates in Dance as an extracurricular activity.
Student S18968 named Anthony Hill, age 14, gender Male, is in Class 10. Scored 56 in Math, 67 in Science, 57 in English, 55 in History, and 80 in Computer, totaling 315 marks with Grade C. Attendance stands at 92.69 percent. Participates in None as an extracurricular activity.
Student S18970 named John Herrera, age 11, gender Male, is in Class 10. Scored 79 in Math, 99 in Science, 98 in English, 31 in History, and 53 in Computer, totaling 360 marks with Grade C. Attendance stands at 93.66 percent. Participates in Music as an extracurricular activity.
Student S18972 named Cameron Dougherty, age 14, gender Female, is in Class 10. Scored 81 in Math, 54 in Science, 96 in English, 86 in History, and 34 in Computer, totaling 351 marks with Grade C. Attendance stands at 63.66 percent. Participates in Drama as an extracurricular activity.
Student S18977 named Desiree Taylor, age 14, gender Female, is in Class 10. Scored 50 in Math, 74 in Science, 75 in English, 71 in History, and 49 in Computer, totaling 319 marks with Grade C. Attendance stands at 83.75 percent. Participates in None as an extracurricular activity.
Student S18997 named Craig Smith, age 16, gender Male, is in Class 10. Scored 59 in Math, 34 in Science, 87 in English, 44 in History, and 83 in Computer, totaling 307 marks with Grade C. Attendance stands at 61.43 percent. Participates in Drama as an extracurricular activity.
Student S19011 named Susan Gutierrez, age 12, gender Female, is in Class 10. Scored 57 in Math, 38 in Science, 71 in English, 74 in History, and 72 in Computer, totaling 312 marks with Grade C. Attendance stands at 87.71 percent. Participates in Debate as an extracurricular activity.
Student S19015 named Ashley Davis, age 17, gender Female, is in Class 10. Scored 45 in Math, 92 in Science, 32 in English, 47 in History, and 45 in Computer, totaling 261 marks with Grade D. Attendance stands at 84.62 percent. Participates in Music as an extracurricular activity.
Student S19030 named Peter Jenkins, age 12, gender Female, is in Class 10. Scored 51 in Math, 36 in Science, 99 in English, 72 in History, and 83 in Computer, totaling 341 marks with Grade C. Attendance stands at 87.07 percent. Participates in Football as an extracurricular activity.
Student S19032 named Jill Jenkins, age 16, gender Female, is in Class 10. Scored 85 in Math, 71 in Science, 40 in English, 97 in History, and 56 in Computer, totaling 349 marks with Grade C. Attendance stands at 88.00 percent. Participates in Music as an extracurricular activity.
Student S19034 named Emily Lee, age 12, gender Female, is in Class 10. Scored 73 in Math, 37 in Science, 77 in English, 32 in History, and 32 in Computer, totaling 251 marks with Grade D. Attendance stands at 65.01 percent. Participates in Football as an extracurricular activity.
Student S19039 named Elizabeth Fowler, age 17, gender Male, is in Class 10. Scored 64 in Math, 32 in Science, 89 in English, 67 in History, and 82 in Computer, totaling 334 marks with Grade C. Attendance stands at 62.51 percent. Participates in Football as an extracurricular activity.
Student S19042 named Ethan Johnson, age 15, gender Female, is in Class 10. Scored 37 in Math, 86 in Science, 36 in English, 99 in History, and 65 in Computer, totaling 323 marks with Grade C. Attendance stands at 64.46 percent. Participates in Music as an extracurricular activity.
Student S19053 named Megan Brown, age 12, gender Male, is in Class 10. Scored 38 in Math, 54 in Science, 30 in English, 70 in History, and 76 in Computer, totaling 268 marks with Grade D. Attendance stands at 87.51 percent. Participates in Music as an extracurricular activity.
Student S19057 named Stephanie Miller, age 10, gender Male, is in Class 10. Scored 48 in Math, 66 in Science, 42 in English, 46 in History, and 95 in Computer, totaling 297 marks with Grade D. Attendance stands at 79.04 percent. Participates in Football as an extracurricular activity.
Student S19060 named Tara Todd, age 10, gender Male, is in Class 10. Scored 42 in Math, 33 in Science, 80 in English, 45 in History, and 93 in Computer, totaling 293 marks with Grade D. Attendance stands at 60.32 percent. Participates in Football as an extracurricular activity.
Student S19073 named Mark Lewis, age 10, gender Male, is in Class 10. Scored 84 in Math, 50 in Science, 62 in English, 54 in History, and 51 in Computer, totaling 301 marks with Grade C. Attendance stands at 86.89 percent. Participates in Dance as an extracurricular activity.
Student S19077 named Thomas Dudley, age 14, gender Male, is in Class 10. Scored 66 in Math, 66 in Science, 75 in English, 88 in History, and 52 in Computer, totaling 347 marks with Grade C. Attendance stands at 87.87 percent. Participates in Football as an extracurricular activity.
Student S19095 named Christopher Walton, age 17, gender Male, is in Class 10. Scored 73 in Math, 36 in Science, 55 in English, 38 in History, and 88 in Computer, totaling 290 marks with Grade D. Attendance stands at 70.54 percent. Participates in Debate as an extracurricular activity.
Student S19107 named Sherri Petersen, age 15, gender Female, is in Class 10. Scored 87 in Math, 37 in Science, 71 in English, 84 in History, and 74 in Computer, totaling 353 marks with Grade C. Attendance stands at 94.82 percent. Participates in Football as an extracurricular activity.
Student S19108 named Alexander Mcguire DVM, age 14, gender Female, is in Class 10. Scored 47 in Math, 81 in Science, 35 in English, 94 in History, and 84 in Computer, totaling 341 marks with Grade C. Attendance stands at 75.63 percent. Participates in Football as an extracurricular activity.
Student S19110 named Oscar Patel, age 13, gender Male, is in Class 10. Scored 31 in Math, 57 in Science, 87 in English, 60 in History, and 50 in Computer, totaling 285 marks with Grade D. Attendance stands at 83.42 percent. Participates in Music as an extracurricular activity.
Student S19118 named Jennifer Shaw, age 16, gender Female, is in Class 10. Scored 80 in Math, 60 in Science, 76 in English, 56 in History, and 73 in Computer, totaling 345 marks with Grade C. Attendance stands at 98.97 percent. Participates in Music as an extracurricular activity.
Student S19120 named Amanda Miller, age 12, gender Female, is in Class 10. Scored 52 in Math, 46 in Science, 41 in English, 71 in History, and 36 in Computer, totaling 246 marks with Grade D. Attendance stands at 61.13 percent. Participates in Music as an extracurricular activity.
Student S19134 named Julian Smith, age 16, gender Female, is in Class 10. Scored 91 in Math, 92 in Science, 58 in English, 61 in History, and 59 in Computer, totaling 361 marks with Grade C. Attendance stands at 97.41 percent. Participates in Music as an extracurricular activity.
Student S19135 named Amanda Powell, age 10, gender Female, is in Class 10. Scored 43 in Math, 92 in Science, 91 in English, 73 in History, and 91 in Computer, totaling 390 marks with Grade C. Attendance stands at 61.30 percent. Participates in Debate as an extracurricular activity.
Student S19138 named Elizabeth Mueller, age 14, gender Male, is in Class 10. Scored 64 in Math, 31 in Science, 67 in English, 94 in History, and 76 in Computer, totaling 332 marks with Grade C. Attendance stands at 82.48 percent. Participates in Music as an extracurricular activity.
Student S19144 named Sheri Walton, age 16, gender Male, is in Class 10. Scored 66 in Math, 58 in Science, 59 in English, 67 in History, and 50 in Computer, totaling 300 marks with Grade D. Attendance stands at 98.05 percent. Participates in Football as an extracurricular activity.
Student S19148 named Jerry Baxter, age 12, gender Male, is in Class 10. Scored 36 in Math, 87 in Science, 99 in English, 51 in History, and 95 in Computer, totaling 368 marks with Grade C. Attendance stands at 64.24 percent. Participates in Debate as an extracurricular activity.
Student S19154 named Sarah Jones, age 10, gender Female, is in Class 10. Scored 68 in Math, 81 in Science, 73 in English, 56 in History, and 99 in Computer, totaling 377 marks with Grade C. Attendance stands at 78.48 percent. Participates in Football as an extracurricular activity.
Student S19156 named Julia Poole, age 13, gender Male, is in Class 10. Scored 53 in Math, 82 in Science, 55 in English, 56 in History, and 94 in Computer, totaling 340 marks with Grade C. Attendance stands at 97.46 percent. Participates in Dance as an extracurricular activity.
Student S19172 named Melissa Silva, age 10, gender Male, is in Class 10. Scored 48 in Math, 87 in Science, 31 in English, 99 in History, and 51 in Computer, totaling 316 marks with Grade C. Attendance stands at 64.01 percent. Participates in Debate as an extracurricular activity.
Student S19178 named Kelly Ramos, age 16, gender Female, is in Class 10. Scored 43 in Math, 61 in Science, 47 in English, 57 in History, and 55 in Computer, totaling 263 marks with Grade D. Attendance stands at 74.42 percent. Participates in Football as an extracurricular activity.
Student S19182 named Marissa Becker, age 10, gender Male, is in Class 10. Scored 92 in Math, 53 in Science, 86 in English, 91 in History, and 57 in Computer, totaling 379 marks with Grade C. Attendance stands at 96.84 percent. Participates in Drama as an extracurricular activity.
Student S19183 named Sharon Wilkerson, age 17, gender Male, is in Class 10. Scored 65 in Math, 93 in Science, 90 in English, 72 in History, and 90 in Computer, totaling 410 marks with Grade B. Attendance stands at 71.15 percent. Participates in Football as an extracurricular activity.
Student S19188 named Vickie English, age 14, gender Female, is in Class 10. Scored 84 in Math, 91 in Science, 36 in English, 99 in History, and 73 in Computer, totaling 383 marks with Grade C. Attendance stands at 64.56 percent. Participates in Music as an extracurricular activity.
Student S19198 named Nathan Burch MD, age 16, gender Male, is in Class 10. Scored 73 in Math, 89 in Science, 73 in English, 90 in History, and 54 in Computer, totaling 379 marks with Grade C. Attendance stands at 98.71 percent. Participates in Drama as an extracurricular activity.
