Student S10008 named Valerie Smith, age 16, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 42 in English, 73 in History, and 43 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Debate as an extracurricular activity.
Student S17699 named Sharon Collins, age 13, gender Female, is in Class 5. Scored 65 in Math, 42 in Science, 47 in English, 76 in History, and 81 in Computer, totaling 311 marks with Grade C. Attendance stands at 66.62 percent. Participates in Drama as an extracurricular activity.
Student S17704 named Michael Joseph, age 13, gender Male, is in Class 5. Scored 95 in Math, 56 in Science, 54 in English, 33 in History, and 41 in Computer, totaling 279 marks with Grade D. Attendance stands at 73.84 percent. Participates in Football as an extracurricular activity.
Student S17708 named Tara Mcbride, age 14, gender Male, is in Class 5. Scored 90 in Math, 63 in Science, 40 in English, 67 in History, and 60 in Computer, totaling 320 marks with Grade C. Attendance stands at 92.41 percent. Participates in Music as an extracurricular activity.
Student S17727 named Theodore Bryant, age 11, gender Female, is in Class 5. Scored 65 in Math, 91 in Science, 53 in English, 99 in History, and 74 in Computer, totaling 382 marks with Grade C. Attendance stands at 62.69 percent. Participates in Dance as an extracurricular activity.
Student S17733 named Shannon Petersen, age 16, gender Male, is in Class 5. Scored 40 in Math, 64 in Science, 56 in English, 30 in History, and 39 in Computer, totaling 229 marks with Grade D. Attendance stands at 77.67 percent. Participates in Drama as an extracurricular activity.
Student S17744 named Rebecca Noble, age 15, gender Male, is in Class 5. Scored 82 in Math, 41 in Science, 51 in English, 71 in History, and 42 in Computer, totaling 287 marks with Grade D. Attendance stands at 66.48 percent. Participates in Drama as an extracurricular activity.
Student S17747 named Ms. Tammy Andrade DDS, age 11, gender Female, is in Class 5. Scored 73 in Math, 62 in Science, 45 in English, 30 in History, and 75 in Computer, totaling 285 marks with Grade D. Attendance stands at 75.67 percent. Participates in Football as an extracurricular activity.
Student S17753 named Heather Jones, age 15, gender Male, is in Class 5. Scored 82 in Math, 60 in Science, 96 in English, 50 in History, and 86 in Computer, totaling 374 marks with Grade C. Attendance stands at 61.38 percent. Participates in Debate as an extracurricular activity.
Student S17757 named Mark Walker, age 13, gender Female, is in Class 5. Scored 75 in Math, 60 in Science, 40 in English, 37 in History, and 91 in Computer, totaling 303 marks with Grade C. Attendance stands at 68.91 percent. Participates in None as an extracurricular activity.
Student S17776 named Daniel Walker, age 12, gender Male, is in Class 5. Scored 89 in Math, 36 in Science, 97 in English, 87 in History, and 84 in Computer, totaling 393 marks with Grade C. Attendance stands at 60.28 percent. Participates in Football as an extracurricular activity.
Student S17781 named Lee Bridges, age 16, gender Female, is in Class 5. Scored 74 in Math, 39 in Science, 81 in English, 73 in History, and 52 in Computer, totaling 319 marks with Grade C. Attendance stands at 78.69 percent. Participates in Drama as an extracurricular activity.
Student S17786 named Hailey Lynch, age 16, gender Female, is in Class 5. Scored 69 in Math, 38 in Science, 47 in English, 65 in History, and 38 in Computer, totaling 257 marks with Grade D. Attendance stands at 76.62 percent. Participates in Debate as an extracurricular activity.
Student S17794 named Amy Hamilton, age 11, gender Male, is in Class 5. Scored 98 in Math, 72 in Science, 77 in English, 86 in History, and 58 in Computer, totaling 391 marks with Grade C. Attendance stands at 83.73 percent. Participates in Football as an extracurricular activity.
Student S17800 named Alyssa Myers, age 16, gender Male, is in Class 5. Scored 89 in Math, 67 in Science, 43 in English, 77 in History, and 44 in Computer, totaling 320 marks with Grade C. Attendance stands at 78.37 percent. Participates in None as an extracurricular activity.
Student S17802 named Joseph Butler MD, age 15, gender Female, is in Class 5. Scored 56 in Math, 68 in Science, 90 in English, 82 in History, and 59 in Computer, totaling 355 marks with Grade C. Attendance stands at 94.91 percent. Participates in None as an extracurricular activity.
Student S17809 named Jeffrey Perez, age 13, gender Female, is in Class 5. Scored 93 in Math, 46 in Science, 34 in English, 71 in History, and 59 in Computer, totaling 303 marks with Grade C. Attendance stands at 96.10 percent. Participates in Drama as an extracurricular activity.
Student S17814 named Alan Ford, age 10, gender Female, is in Class 5. Scored 62 in Math, 42 in Science, 38 in English, 38 in History, and 85 in Computer, totaling 265 marks with Grade D. Attendance stands at 81.98 percent. Participates in Music as an extracurricular activity.
Student S17824 named Zachary Phillips, age 10, gender Female, is in Class 5. Scored 70 in Math, 99 in Science, 84 in English, 53 in History, and 97 in Computer, totaling 403 marks with Grade B. Attendance stands at 94.26 percent. Participates in Music as an extracurricular activity.
Student S17827 named Sarah Cowan, age 16, gender Male, is in Class 5. Scored 82 in Math, 98 in Science, 57 in English, 36 in History, and 36 in Computer, totaling 309 marks with Grade C. Attendance stands at 98.92 percent. Participates in Debate as an extracurricular activity.
Student S17835 named Lisa Campos, age 17, gender Female, is in Class 5. Scored 55 in Math, 77 in Science, 79 in English, 53 in History, and 50 in Computer, totaling 314 marks with Grade C. Attendance stands at 76.88 percent. Participates in Music as an extracurricular activity.
Student S17838 named Mark Schwartz, age 11, gender Male, is in Class 5. Scored 84 in Math, 74 in Science, 58 in English, 62 in History, and 63 in Computer, totaling 341 marks with Grade C. Attendance stands at 90.58 percent. Participates in Drama as an extracurricular activity.
Student S17849 named Carolyn Carter, age 13, gender Female, is in Class 5. Scored 36 in Math, 72 in Science, 82 in English, 32 in History, and 54 in Computer, totaling 276 marks with Grade D. Attendance stands at 64.13 percent. Participates in Music as an extracurricular activity.
Student S17865 named Ryan Gibson, age 15, gender Male, is in Class 5. Scored 77 in Math, 41 in Science, 86 in English, 63 in History, and 58 in Computer, totaling 325 marks with Grade C. Attendance stands at 98.31 percent. Participates in Drama as an extracurricular activity.
Student S17872 named David Miller, age 13, gender Male, is in Class 5. Scored 60 in Math, 90 in Science, 40 in English, 52 in History, and 85 in Computer, totaling 327 marks with Grade C. Attendance stands at 75.40 percent. Participates in Drama as an extracurricular activity.
Student S17877 named Jodi Mills, age 16, gender Male, is in Class 5. Scored 60 in Math, 47 in Science, 52 in English, 43 in History, and 88 in Computer, totaling 290 marks with Grade D. Attendance stands at 91.53 percent. Participates in Football as an extracurricular activity.
Student S17893 named Jennifer Vega, age 13, gender Male, is in Class 5. Scored 32 in Math, 73 in Science, 34 in English, 48 in History, and 31 in Computer, totaling 218 marks with Grade D. Attendance stands at 84.24 percent. Participates in Drama as an extracurricular activity.
Student S17899 named Stephanie Gibson, age 16, gender Female, is in Class 5. Scored 48 in Math, 37 in Science, 67 in English, 80 in History, and 99 in Computer, totaling 331 marks with Grade C. Attendance stands at 90.01 percent. Participates in Football as an extracurricular activity.
Student S17910 named Sharon Brewer, age 13, gender Male, is in Class 5. Scored 44 in Math, 63 in Science, 63 in English, 82 in History, and 70 in Computer, totaling 322 marks with Grade C. Attendance stands at 70.67 percent. Participates in Debate as an extracurricular activity.
Student S17926 named Vanessa Walls, age 17, gender Female, is in Class 5. Scored 74 in Math, 76 in Science, 64 in English, 61 in History, and 45 in Computer, totaling 320 marks with Grade C. Attendance stands at 85.96 percent. Participates in Music as an extracurricular activity.
Student S17935 named Maria Meyer, age 15, gender Male, is in Class 5. Scored 98 in Math, 61 in Science, 48 in English, 33 in History, and 44 in Computer, totaling 284 marks with Grade D. Attendance stands at 91.67 percent. Participates in None as an extracurricular activity.
Student S17939 named Stacy Wallace, age 12, gender Female, is in Class 5. Scored 75 in Math, 42 in Science, 77 in English, 30 in History, and 46 in Computer, totaling 270 marks with Grade D. Attendance stands at 99.86 percent. Participates in Debate as an extracurricular activity.
Student S17955 named Bonnie Booth, age 15, gender Male, is in Class 5. Scored 35 in Math, 73 in Science, 87 in English, 42 in History, and 84 in Computer, totaling 321 marks with Grade C. Attendance stands at 62.43 percent. Participates in Dance as an extracurricular activity.
Student S17962 named Alexis Burns, age 12, gender Male, is in Class 5. Scored 44 in Math, 69 in Science, 80 in English, 98 in History, and 95 in Computer, totaling 386 marks with Grade C. Attendance stands at 73.25 percent. Participates in Music as an extracurricular activity.
Student S17977 named Judith Adams, age 16, gender Female, is in Class 5. Scored 76 in Math, 66 in Science, 35 in English, 50 in History, and 65 in Computer, totaling 292 marks with Grade D. Attendance stands at 88.14 percent. Participates in Music as an extracurricular activity.
Student S18034 named Thomas Wallace, age 15, gender Male, is in Class 5. Scored 59 in Math, 52 in Science, 55 in English, 77 in History, and 95 in Computer, totaling 338 marks with Grade C. Attendance stands at 97.20 percent. Participates in Debate as an extracurricular activity.
Student S18051 named Kevin Ramsey, age 10, gender Female, is in Class 5. Scored 63 in Math, 44 in Science, 84 in English, 42 in History, and 93 in Computer, totaling 326 marks with Grade C. Attendance stands at 77.79 percent. Participates in None as an extracurricular activity.
Student S18056 named Crystal Salas, age 15, gender Female, is in Class 5. Scored 75 in Math, 85 in Science, 56 in English, 48 in History, and 37 in Computer, totaling 301 marks with Grade C. Attendance stands at 60.79 percent. Participates in Debate as an extracurricular activity.
Student S18057 named Calvin Mcmillan, age 13, gender Female, is in Class 5. Scored 76 in Math, 89 in Science, 79 in English, 46 in History, and 53 in Computer, totaling 343 marks with Grade C. Attendance stands at 79.08 percent. Participates in Football as an extracurricular activity.
Student S18063 named Shari Coleman, age 13, gender Male, is in Class 5. Scored 33 in Math, 68 in Science, 78 in English, 64 in History, and 63 in Computer, totaling 306 marks with Grade C. Attendance stands at 79.62 percent. Participates in Dance as an extracurricular activity.
Student S18066 named Kelly Jenkins, age 15, gender Female, is in Class 5. Scored 59 in Math, 39 in Science, 78 in English, 53 in History, and 99 in Computer, totaling 328 marks with Grade C. Attendance stands at 99.49 percent. Participates in Dance as an extracurricular activity.
Student S18080 named Stephen Brown, age 10, gender Male, is in Class 5. Scored 84 in Math, 82 in Science, 64 in English, 71 in History, and 68 in Computer, totaling 369 marks with Grade C. Attendance stands at 88.26 percent. Participates in None as an extracurricular activity.
Student S18086 named Jessica Wheeler, age 10, gender Male, is in Class 5. Scored 38 in Math, 49 in Science, 45 in English, 40 in History, and 95 in Computer, totaling 267 marks with Grade D. Attendance stands at 74.20 percent. Participates in Football as an extracurricular activity.
Student S18093 named Jacqueline Noble, age 12, gender Female, is in Class 5. Scored 89 in Math, 64 in Science, 39 in English, 42 in History, and 60 in Computer, totaling 294 marks with Grade D. Attendance stands at 99.23 percent. Participates in Dance as an extracurricular activity.
Student S18099 named John Serrano, age 16, gender Female, is in Class 5. Scored 71 in Math, 52 in Science, 85 in English, 81 in History, and 93 in Computer, totaling 382 marks with Grade C. Attendance stands at 72.31 percent. Participates in Dance as an extracurricular activity.
Student S18102 named Autumn Compton, age 12, gender Male, is in Class 5. Scored 49 in Math, 34 in Science, 85 in English, 47 in History, and 73 in Computer, totaling 288 marks with Grade D. Attendance stands at 96.21 percent. Participates in Dance as an extracurricular activity.
Student S18105 named Jillian Baker, age 11, gender Male, is in Class 5. Scored 53 in Math, 47 in Science, 85 in English, 49 in History, and 67 in Computer, totaling 301 marks with Grade C. Attendance stands at 96.19 percent. Participates in Dance as an extracurricular activity.
Student S18106 named Matthew Sparks, age 13, gender Male, is in Class 5. Scored 70 in Math, 54 in Science, 76 in English, 56 in History, and 81 in Computer, totaling 337 marks with Grade C. Attendance stands at 63.19 percent. Participates in Dance as an extracurricular activity.
Student S18111 named Dr. Samantha Cummings, age 14, gender Female, is in Class 5. Scored 66 in Math, 46 in Science, 45 in English, 40 in History, and 33 in Computer, totaling 230 marks with Grade D. Attendance stands at 68.33 percent. Participates in Drama as an extracurricular activity.
Student S18112 named Michael Bruce, age 15, gender Female, is in Class 5. Scored 63 in Math, 72 in Science, 89 in English, 41 in History, and 93 in Computer, totaling 358 marks with Grade C. Attendance stands at 66.54 percent. Participates in Debate as an extracurricular activity.
Student S18122 named Adam Sandoval, age 10, gender Female, is in Class 5. Scored 47 in Math, 30 in Science, 67 in English, 89 in History, and 77 in Computer, totaling 310 marks with Grade C. Attendance stands at 75.63 percent. Participates in None as an extracurricular activity.
Student S18132 named Anthony Ellis, age 13, gender Female, is in Class 5. Scored 95 in Math, 75 in Science, 39 in English, 35 in History, and 68 in Computer, totaling 312 marks with Grade C. Attendance stands at 83.66 percent. Participates in Football as an extracurricular activity.
Student S18135 named Laura Hamilton, age 11, gender Male, is in Class 5. Scored 76 in Math, 50 in Science, 91 in English, 52 in History, and 47 in Computer, totaling 316 marks with Grade C. Attendance stands at 77.01 percent. Participates in None as an extracurricular activity.
Student S18143 named Ashley Daniels, age 12, gender Male, is in Class 5. Scored 57 in Math, 84 in Science, 91 in English, 81 in History, and 91 in Computer, totaling 404 marks with Grade B. Attendance stands at 67.02 percent. Participates in Dance as an extracurricular activity.
Student S18151 named Danielle Friedman, age 11, gender Female, is in Class 5. Scored 54 in Math, 48 in Science, 68 in English, 67 in History, and 31 in Computer, totaling 268 marks with Grade D. Attendance stands at 92.13 percent. Participates in Drama as an extracurricular activity.
Student S18154 named Christina Jackson, age 12, gender Male, is in Class 5. Scored 90 in Math, 49 in Science, 82 in English, 56 in History, and 61 in Computer, totaling 338 marks with Grade C. Attendance stands at 96.94 percent. Participates in Football as an extracurricular activity.
Student S18157 named Thomas Johnson, age 12, gender Male, is in Class 5. Scored 45 in Math, 91 in Science, 54 in English, 63 in History, and 84 in Computer, totaling 337 marks with Grade C. Attendance stands at 61.51 percent. Participates in Dance as an extracurricular activity.
Student S18168 named David Garza, age 14, gender Female, is in Class 5. Scored 30 in Math, 39 in Science, 49 in English, 45 in History, and 53 in Computer, totaling 216 marks with Grade D. Attendance stands at 92.16 percent. Participates in Drama as an extracurricular activity.
Student S18172 named Emily Hebert, age 14, gender Female, is in Class 5. Scored 87 in Math, 56 in Science, 80 in English, 97 in History, and 65 in Computer, totaling 385 marks with Grade C. Attendance stands at 71.79 percent. Participates in Music as an extracurricular activity.
Student S18215 named Amanda Perry, age 11, gender Male, is in Class 5. Scored 44 in Math, 86 in Science, 65 in English, 52 in History, and 73 in Computer, totaling 320 marks with Grade C. Attendance stands at 67.08 percent. Participates in Debate as an extracurricular activity.
Student S18224 named Aaron Fletcher MD, age 12, gender Female, is in Class 5. Scored 56 in Math, 86 in Science, 58 in English, 75 in History, and 34 in Computer, totaling 309 marks with Grade C. Attendance stands at 83.23 percent. Participates in Football as an extracurricular activity.
Student S18232 named Mary Hickman, age 12, gender Female, is in Class 5. Scored 42 in Math, 66 in Science, 69 in English, 58 in History, and 87 in Computer, totaling 322 marks with Grade C. Attendance stands at 66.20 percent. Participates in Football as an extracurricular activity.
Student S18240 named Richard Wilcox, age 11, gender Male, is in Class 5. Scored 62 in Math, 83 in Science, 38 in English, 46 in History, and 71 in Computer, totaling 300 marks with Grade D. Attendance stands at 72.83 percent. Participates in Football as an extracurricular activity.
Student S18242 named Stephanie Johnson, age 10, gender Male, is in Class 5. Scored 91 in Math, 96 in Science, 91 in English, 37 in History, and 54 in Computer, totaling 369 marks with Grade C. Attendance stands at 89.26 percent. Participates in Music as an extracurricular activity.
Student S18243 named Danny Crawford, age 15, gender Male, is in Class 5. Scored 73 in Math, 93 in Science, 92 in English, 84 in History, and 82 in Computer, totaling 424 marks with Grade B. Attendance stands at 80.12 percent. Participates in None as an extracurricular activity.
Student S18281 named Richard Martin, age 13, gender Female, is in Class 5. Scored 54 in Math, 72 in Science, 52 in English, 56 in History, and 57 in Computer, totaling 291 marks with Grade D. Attendance stands at 99.65 percent. Participates in Drama as an extracurricular activity.
Student S18286 named Rachel Diaz, age 13, gender Male, is in Class 5. Scored 52 in Math, 38 in Science, 53 in English, 49 in History, and 43 in Computer, totaling 235 marks with Grade D. Attendance stands at 98.74 percent. Participates in Dance as an extracurricular activity.
Student S18294 named Cassandra Fields, age 12, gender Male, is in Class 5. Scored 61 in Math, 61 in Science, 56 in English, 33 in History, and 87 in Computer, totaling 298 marks with Grade D. Attendance stands at 80.44 percent. Participates in Dance as an extracurricular activity.
Student S18296 named Samantha Thomas, age 10, gender Female, is in Class 5. Scored 32 in Math, 96 in Science, 54 in English, 90 in History, and 69 in Computer, totaling 341 marks with Grade C. Attendance stands at 72.33 percent. Participates in Football as an extracurricular activity.
Student S18305 named Amanda Flowers, age 17, gender Female, is in Class 5. Scored 77 in Math, 43 in Science, 63 in English, 92 in History, and 68 in Computer, totaling 343 marks with Grade C. Attendance stands at 60.70 percent. Participates in Football as an extracurricular activity.
Student S18306 named Rachel Sanders, age 15, gender Female, is in Class 5. Scored 45 in Math, 32 in Science, 35 in English, 53 in History, and 73 in Computer, totaling 238 marks with Grade D. Attendance stands at 93.80 percent. Participates in Music as an extracurricular activity.
Student S18309 named Jennifer Bishop, age 11, gender Male, is in Class 5. Scored 75 in Math, 84 in Science, 89 in English, 74 in History, and 60 in Computer, totaling 382 marks with Grade C. Attendance stands at 82.77 percent. Participates in Dance as an extracurricular activity.
Student S18313 named Amanda Blankenship, age 16, gender Male, is in Class 5. Scored 55 in Math, 77 in Science, 54 in English, 66 in History, and 47 in Computer, totaling 299 marks with Grade D. Attendance stands at 85.88 percent. Participates in Music as an extracurricular activity.
Student S18320 named Christian Burke, age 17, gender Male, is in Class 5. Scored 70 in Math, 58 in Science, 53 in English, 70 in History, and 76 in Computer, totaling 327 marks with Grade C. Attendance stands at 73.26 percent. Participates in None as an extracurricular activity.
Student S18321 named Sarah Johnson, age 17, gender Female, is in Class 5. Scored 78 in Math, 56 in Science, 82 in English, 56 in History, and 34 in Computer, totaling 306 marks with Grade C. Attendance stands at 76.47 percent. Participates in Debate as an extracurricular activity.
Student S18328 named Elizabeth Garcia, age 12, gender Male, is in Class 5. Scored 69 in Math, 69 in Science, 59 in English, 45 in History, and 48 in Computer, totaling 290 marks with Grade D. Attendance stands at 64.44 percent. Participates in Football as an extracurricular activity.
Student S18329 named Gail Potter, age 13, gender Male, is in Class 5. Scored 34 in Math, 66 in Science, 78 in English, 61 in History, and 73 in Computer, totaling 312 marks with Grade C. Attendance stands at 79.14 percent. Participates in Music as an extracurricular activity.
Student S18336 named Douglas Huang, age 12, gender Male, is in Class 5. Scored 67 in Math, 92 in Science, 42 in English, 32 in History, and 87 in Computer, totaling 320 marks with Grade C. Attendance stands at 74.11 percent. Participates in Football as an extracurricular activity.
Student S18338 named Lauren Good, age 14, gender Male, is in Class 5. Scored 49 in Math, 40 in Science, 54 in English, 97 in History, and 89 in Computer, totaling 329 marks with Grade C. Attendance stands at 62.53 percent. Participates in Music as an extracurricular activity.
Student S18369 named Caleb Jones, age 12, gender Female, is in Class 5. Scored 32 in Math, 90 in Science, 68 in English, 47 in History, and 93 in Computer, totaling 330 marks with Grade C. Attendance stands at 97.75 percent. Participates in Drama as an extracurricular activity.
Student S18375 named Natasha Buck, age 10, gender Male, is in Class 5. Scored 53 in Math, 43 in Science, 48 in English, 39 in History, and 92 in Computer, totaling 275 marks with Grade D. Attendance stands at 73.67 percent. Participates in Football as an extracurricular activity.
Student S18379 named Scott Baker, age 11, gender Male, is in Class 5. Scored 44 in Math, 93 in Science, 75 in English, 67 in History, and 62 in Computer, totaling 341 marks with Grade C. Attendance stands at 78.10 percent. Participates in Dance as an extracurricular activity.
Student S18392 named Marcus Shaw, age 14, gender Female, is in Class 5. Scored 53 in Math, 73 in Science, 91 in English, 39 in History, and 40 in Computer, totaling 296 marks with Grade D. Attendance stands at 96.30 percent. Participates in None as an extracurricular activity.
Student S18396 named Kenneth Glover, age 13, gender Male, is in Class 5. Scored 52 in Math, 41 in Science, 92 in English, 62 in History, and 32 in Computer, totaling 279 marks with Grade D. Attendance stands at 93.61 percent. Participates in Debate as an extracurricular activity.
Student S18400 named Eric Drake, age 13, gender Female, is in Class 5. Scored 43 in Math, 91 in Science, 62 in English, 34 in History, and 95 in Computer, totaling 325 marks with Grade C. Attendance stands at 64.97 percent. Participates in Music as an extracurricular activity.
Student S18412 named Casey Smith, age 10, gender Male, is in Class 5. Scored 98 in Math, 99 in Science, 93 in English, 56 in History, and 80 in Computer, totaling 426 marks with Grade B. Attendance stands at 68.99 percent. Participates in Football as an extracurricular activity.
Student S18415 named Jacqueline Fuller, age 11, gender Female, is in Class 5. Scored 99 in Math, 35 in Science, 45 in English, 89 in History, and 35 in Computer, totaling 303 marks with Grade C. Attendance stands at 63.43 percent. Participates in None as an extracurricular activity.
Student S18416 named Brett Stark, age 10, gender Female, is in Class 5. Scored 86 in Math, 30 in Science, 60 in English, 48 in History, and 66 in Computer, totaling 290 marks with Grade D. Attendance stands at 81.36 percent. Participates in None as an extracurricular activity.
Student S18419 named Richard Carter, age 16, gender Male, is in Class 5. Scored 35 in Math, 88 in Science, 43 in English, 31 in History, and 76 in Computer, totaling 273 marks with Grade D. Attendance stands at 67.99 percent. Participates in Football as an extracurricular activity.
Student S18421 named Bonnie Turner, age 15, gender Male, is in Class 5. Scored 34 in Math, 62 in Science, 39 in English, 71 in History, and 57 in Computer, totaling 263 marks with Grade D. Attendance stands at 64.87 percent. Participates in Football as an extracurricular activity.
Student S18432 named James Skinner, age 13, gender Female, is in Class 5. Scored 41 in Math, 76 in Science, 88 in English, 96 in History, and 45 in Computer, totaling 346 marks with Grade C. Attendance stands at 97.96 percent. Participates in Football as an extracurricular activity.
Student S18433 named Frank Harris, age 14, gender Male, is in Class 5. Scored 68 in Math, 79 in Science, 44 in English, 78 in History, and 50 in Computer, totaling 319 marks with Grade C. Attendance stands at 94.75 percent. Participates in Football as an extracurricular activity.
Student S18434 named Abigail Jacobson, age 17, gender Female, is in Class 5. Scored 71 in Math, 55 in Science, 53 in English, 86 in History, and 33 in Computer, totaling 298 marks with Grade D. Attendance stands at 61.60 percent. Participates in Debate as an extracurricular activity.
Student S18436 named Mrs. Stephanie Collier, age 11, gender Female, is in Class 5. Scored 88 in Math, 62 in Science, 39 in English, 64 in History, and 96 in Computer, totaling 349 marks with Grade C. Attendance stands at 81.70 percent. Participates in Debate as an extracurricular activity.
Student S18437 named Alexander Miller, age 17, gender Male, is in Class 5. Scored 99 in Math, 95 in Science, 30 in English, 80 in History, and 59 in Computer, totaling 363 marks with Grade C. Attendance stands at 60.85 percent. Participates in Music as an extracurricular activity.
Student S18444 named Monica Vargas, age 13, gender Female, is in Class 5. Scored 90 in Math, 49 in Science, 80 in English, 47 in History, and 87 in Computer, totaling 353 marks with Grade C. Attendance stands at 63.08 percent. Participates in Music as an extracurricular activity.
Student S18459 named Heather Frost, age 16, gender Male, is in Class 5. Scored 67 in Math, 96 in Science, 73 in English, 51 in History, and 56 in Computer, totaling 343 marks with Grade C. Attendance stands at 89.11 percent. Participates in Dance as an extracurricular activity.
Student S18472 named Jennifer Nicholson, age 11, gender Male, is in Class 5. Scored 81 in Math, 42 in Science, 66 in English, 53 in History, and 97 in Computer, totaling 339 marks with Grade C. Attendance stands at 71.56 percent. Participates in None as an extracurricular activity.
Student S18480 named Michael Vargas, age 17, gender Male, is in Class 5. Scored 62 in Math, 89 in Science, 47 in English, 34 in History, and 69 in Computer, totaling 301 marks with Grade C. Attendance stands at 62.53 percent. Participates in Debate as an extracurricular activity.
Student S18494 named Kimberly Ruiz, age 11, gender Female, is in Class 5. Scored 85 in Math, 90 in Science, 60 in English, 49 in History, and 45 in Computer, totaling 329 marks with Grade C. Attendance stands at 76.15 percent. Participates in Football as an extracurricular activity.
Student S18511 named Kristine Holt, age 13, gender Male, is in Class 5. Scored 53 in Math, 71 in Science, 36 in English, 61 in History, and 53 in Computer, totaling 274 marks with Grade D. Attendance stands at 71.80 percent. Participates in Football as an extracurricular activity.
Student S18513 named Madison Chang, age 17, gender Female, is in Class 5. Scored 92 in Math, 54 in Science, 83 in English, 58 in History, and 97 in Computer, totaling 384 marks with Grade C. Attendance stands at 86.01 percent. Participates in Dance as an extracurricular activity.
Student S18517 named Kimberly Henry, age 15, gender Female, is in Class 5. Scored 97 in Math, 91 in Science, 79 in English, 56 in History, and 70 in Computer, totaling 393 marks with Grade C. Attendance stands at 90.28 percent. Participates in Football as an extracurricular activity.
Student S18520 named Theresa Hernandez, age 15, gender Male, is in Class 5. Scored 83 in Math, 65 in Science, 64 in English, 37 in History, and 94 in Computer, totaling 343 marks with Grade C. Attendance stands at 83.95 percent. Participates in Dance as an extracurricular activity.
Student S18534 named Darlene Williams, age 12, gender Male, is in Class 5. Scored 79 in Math, 64 in Science, 62 in English, 75 in History, and 78 in Computer, totaling 358 marks with Grade C. Attendance stands at 64.92 percent. Participates in Football as an extracurricular activity.
Student S18539 named Kimberly Brooks, age 13, gender Male, is in Class 5. Scored 66 in Math, 52 in Science, 85 in English, 96 in History, and 65 in Computer, totaling 364 marks with Grade C. Attendance stands at 74.62 percent. Participates in Football as an extracurricular activity.
Student S18540 named James Black, age 10, gender Male, is in Class 5. Scored 67 in Math, 59 in Science, 72 in English, 59 in History, and 43 in Computer, totaling 300 marks with Grade D. Attendance stands at 97.29 percent. Participates in Drama as an extracurricular activity.
Student S18541 named Sherry Smith, age 12, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 88 in English, 37 in History, and 39 in Computer, totaling 280 marks with Grade D. Attendance stands at 69.12 percent. Participates in Music as an extracurricular activity.
Student S18545 named Michele Gentry, age 10, gender Female, is in Class 5. Scored 40 in Math, 36 in Science, 44 in English, 51 in History, and 91 in Computer, totaling 262 marks with Grade D. Attendance stands at 71.97 percent. Participates in Football as an extracurricular activity.
Student S18547 named Ryan Buck, age 17, gender Male, is in Class 5. Scored 56 in Math, 71 in Science, 38 in English, 95 in History, and 57 in Computer, totaling 317 marks with Grade C. Attendance stands at 69.25 percent. Participates in Football as an extracurricular activity.
Student S18553 named Richard Lang, age 10, gender Male, is in Class 5. Scored 45 in Math, 63 in Science, 41 in English, 77 in History, and 44 in Computer, totaling 270 marks with Grade D. Attendance stands at 78.47 percent. Participates in Music as an extracurricular activity.
Student S18554 named Daniel Garcia, age 17, gender Male, is in Class 5. Scored 74 in Math, 94 in Science, 58 in English, 89 in History, and 67 in Computer, totaling 382 marks with Grade C. Attendance stands at 88.12 percent. Participates in Debate as an extracurricular activity.
Student S18571 named Sarah Olsen, age 12, gender Female, is in Class 5. Scored 97 in Math, 62 in Science, 70 in English, 41 in History, and 93 in Computer, totaling 363 marks with Grade C. Attendance stands at 83.27 percent. Participates in Drama as an extracurricular activity.
Student S18572 named Jamie Cochran, age 16, gender Male, is in Class 5. Scored 67 in Math, 93 in Science, 58 in English, 90 in History, and 87 in Computer, totaling 395 marks with Grade C. Attendance stands at 86.69 percent. Participates in Music as an extracurricular activity.
Student S18577 named Brian Young, age 17, gender Male, is in Class 5. Scored 99 in Math, 84 in Science, 60 in English, 41 in History, and 85 in Computer, totaling 369 marks with Grade C. Attendance stands at 60.12 percent. Participates in None as an extracurricular activity.
Student S18580 named Michael Mullins, age 13, gender Female, is in Class 5. Scored 72 in Math, 63 in Science, 35 in English, 84 in History, and 73 in Computer, totaling 327 marks with Grade C. Attendance stands at 76.16 percent. Participates in Football as an extracurricular activity.
Student S18589 named Dr. Ashley Miller, age 16, gender Male, is in Class 5. Scored 85 in Math, 80 in Science, 50 in English, 72 in History, and 36 in Computer, totaling 323 marks with Grade C. Attendance stands at 69.96 percent. Participates in Football as an extracurricular activity.
Student S18590 named Denise Brewer, age 14, gender Male, is in Class 5. Scored 64 in Math, 38 in Science, 58 in English, 53 in History, and 97 in Computer, totaling 310 marks with Grade C. Attendance stands at 95.90 percent. Participates in Debate as an extracurricular activity.
Student S18596 named Brandy Berry, age 12, gender Male, is in Class 5. Scored 37 in Math, 39 in Science, 99 in English, 81 in History, and 70 in Computer, totaling 326 marks with Grade C. Attendance stands at 86.25 percent. Participates in Dance as an extracurricular activity.
Student S18597 named Carlos Harrison, age 16, gender Female, is in Class 5. Scored 92 in Math, 79 in Science, 58 in English, 40 in History, and 36 in Computer, totaling 305 marks with Grade C. Attendance stands at 83.95 percent. Participates in Football as an extracurricular activity.
