Student S10001 named Rebecca Vargas, age 15, gender Male, is in Class 8. Scored 40 in Math, 94 in Science, 42 in English, 66 in History, and 70 in Computer, totaling 312 marks with Grade C. Attendance stands at 69.78 percent. Participates in Drama as an extracurricular activity.
Student S17754 named Frank Lee, age 17, gender Female, is in Class 8. Scored 47 in Math, 94 in Science, 52 in English, 45 in History, and 37 in Computer, totaling 275 marks with Grade D. Attendance stands at 72.05 percent. Participates in Dance as an extracurricular activity.
Student S17764 named David Howe, age 17, gender Female, is in Class 8. Scored 39 in Math, 50 in Science, 91 in English, 30 in History, and 33 in Computer, totaling 243 marks with Grade D. Attendance stands at 62.85 percent. Participates in Debate as an extracurricular activity.
Student S17785 named Steven Rogers, age 12, gender Male, is in Class 8. Scored 92 in Math, 98 in Science, 83 in English, 48 in History, and 67 in Computer, totaling 388 marks with Grade C. Attendance stands at 71.58 percent. Participates in Music as an extracurricular activity.
Student S17788 named Nicholas Ball, age 17, gender Male, is in Class 8. Scored 39 in Math, 83 in Science, 32 in English, 63 in History, and 58 in Computer, totaling 275 marks with Grade D. Attendance stands at 72.74 percent. Participates in Football as an extracurricular activity.
Student S17796 named Samantha Costa, age 12, gender Male, is in Class 8. Scored 31 in Math, 35 in Science, 95 in English, 31 in History, and 79 in Computer, totaling 271 marks with Grade D. Attendance stands at 60.68 percent. Participates in None as an extracurricular activity.
Student S17798 named Linda Haas, age 11, gender Male, is in Class 8. Scored 53 in Math, 67 in Science, 66 in English, 34 in History, and 84 in Computer, totaling 304 marks with Grade C. Attendance stands at 70.53 percent. Participates in Football as an extracurricular activity.
Student S17803 named Jay Kelly, age 10, gender Male, is in Class 8. Scored 67 in Math, 59 in Science, 91 in English, 50 in History, and 58 in Computer, totaling 325 marks with Grade C. Attendance stands at 98.22 percent. Participates in Music as an extracurricular activity.
Student S17817 named James Ingram, age 16, gender Female, is in Class 8. Scored 44 in Math, 75 in Science, 64 in English, 64 in History, and 66 in Computer, totaling 313 marks with Grade C. Attendance stands at 66.37 percent. Participates in Music as an extracurricular activity.
Student S17837 named Jeremy Kelly, age 10, gender Female, is in Class 8. Scored 34 in Math, 60 in Science, 37 in English, 32 in History, and 67 in Computer, totaling 230 marks with Grade D. Attendance stands at 84.06 percent. Participates in Debate as an extracurricular activity.
Student S17847 named Henry Moore, age 10, gender Male, is in Class 8. Scored 71 in Math, 52 in Science, 49 in English, 89 in History, and 49 in Computer, totaling 310 marks with Grade C. Attendance stands at 93.26 percent. Participates in Debate as an extracurricular activity.
Student S17857 named Ernest Galvan, age 10, gender Female, is in Class 8. Scored 60 in Math, 61 in Science, 59 in English, 81 in History, and 68 in Computer, totaling 329 marks with Grade C. Attendance stands at 88.74 percent. Participates in Football as an extracurricular activity.
Student S17859 named Katie Zuniga, age 16, gender Male, is in Class 8. Scored 84 in Math, 40 in Science, 75 in English, 98 in History, and 60 in Computer, totaling 357 marks with Grade C. Attendance stands at 92.61 percent. Participates in Dance as an extracurricular activity.
Student S17863 named Sarah Coleman, age 10, gender Female, is in Class 8. Scored 86 in Math, 55 in Science, 71 in English, 53 in History, and 46 in Computer, totaling 311 marks with Grade C. Attendance stands at 63.39 percent. Participates in Drama as an extracurricular activity.
Student S17864 named Johnny West, age 10, gender Female, is in Class 8. Scored 30 in Math, 35 in Science, 72 in English, 31 in History, and 63 in Computer, totaling 231 marks with Grade D. Attendance stands at 88.58 percent. Participates in Drama as an extracurricular activity.
Student S17869 named Ruth Richards, age 15, gender Female, is in Class 8. Scored 83 in Math, 86 in Science, 33 in English, 69 in History, and 47 in Computer, totaling 318 marks with Grade C. Attendance stands at 66.49 percent. Participates in None as an extracurricular activity.
Student S17874 named Krista White, age 11, gender Female, is in Class 8. Scored 31 in Math, 41 in Science, 51 in English, 79 in History, and 86 in Computer, totaling 288 marks with Grade D. Attendance stands at 98.55 percent. Participates in Drama as an extracurricular activity.
Student S17884 named James Castro, age 17, gender Female, is in Class 8. Scored 39 in Math, 66 in Science, 99 in English, 75 in History, and 97 in Computer, totaling 376 marks with Grade C. Attendance stands at 62.63 percent. Participates in Football as an extracurricular activity.
Student S17896 named Daniel Johnson, age 13, gender Female, is in Class 8. Scored 99 in Math, 42 in Science, 60 in English, 38 in History, and 98 in Computer, totaling 337 marks with Grade C. Attendance stands at 74.69 percent. Participates in Music as an extracurricular activity.
Student S17898 named Valerie Kaufman, age 15, gender Female, is in Class 8. Scored 46 in Math, 78 in Science, 66 in English, 32 in History, and 96 in Computer, totaling 318 marks with Grade C. Attendance stands at 67.85 percent. Participates in Music as an extracurricular activity.
Student S17916 named Ashley Graham, age 15, gender Male, is in Class 8. Scored 52 in Math, 85 in Science, 58 in English, 98 in History, and 99 in Computer, totaling 392 marks with Grade C. Attendance stands at 61.03 percent. Participates in Music as an extracurricular activity.
Student S17920 named Jeffrey Anderson, age 16, gender Female, is in Class 8. Scored 43 in Math, 99 in Science, 51 in English, 30 in History, and 71 in Computer, totaling 294 marks with Grade D. Attendance stands at 97.65 percent. Participates in Drama as an extracurricular activity.
Student S17940 named Ashley White, age 12, gender Female, is in Class 8. Scored 80 in Math, 45 in Science, 82 in English, 32 in History, and 95 in Computer, totaling 334 marks with Grade C. Attendance stands at 85.52 percent. Participates in Debate as an extracurricular activity.
Student S17944 named Jeffrey Beck, age 17, gender Male, is in Class 8. Scored 83 in Math, 30 in Science, 31 in English, 45 in History, and 85 in Computer, totaling 274 marks with Grade D. Attendance stands at 89.84 percent. Participates in Drama as an extracurricular activity.
Student S17954 named Jacqueline Williams, age 17, gender Female, is in Class 8. Scored 94 in Math, 87 in Science, 82 in English, 99 in History, and 74 in Computer, totaling 436 marks with Grade B. Attendance stands at 97.52 percent. Participates in Dance as an extracurricular activity.
Student S17973 named Suzanne Long, age 10, gender Male, is in Class 8. Scored 46 in Math, 99 in Science, 57 in English, 58 in History, and 79 in Computer, totaling 339 marks with Grade C. Attendance stands at 62.79 percent. Participates in Football as an extracurricular activity.
Student S17983 named William Brown, age 17, gender Male, is in Class 8. Scored 73 in Math, 84 in Science, 53 in English, 47 in History, and 65 in Computer, totaling 322 marks with Grade C. Attendance stands at 82.90 percent. Participates in Dance as an extracurricular activity.
Student S18003 named Daniel Diaz, age 10, gender Female, is in Class 8. Scored 35 in Math, 40 in Science, 68 in English, 87 in History, and 42 in Computer, totaling 272 marks with Grade D. Attendance stands at 91.81 percent. Participates in Drama as an extracurricular activity.
Student S18016 named Kerry Schmidt, age 12, gender Female, is in Class 8. Scored 65 in Math, 48 in Science, 99 in English, 59 in History, and 91 in Computer, totaling 362 marks with Grade C. Attendance stands at 68.76 percent. Participates in Football as an extracurricular activity.
Student S18018 named Heidi Bailey, age 11, gender Female, is in Class 8. Scored 87 in Math, 54 in Science, 42 in English, 79 in History, and 83 in Computer, totaling 345 marks with Grade C. Attendance stands at 61.14 percent. Participates in Drama as an extracurricular activity.
Student S18022 named Cameron Paul, age 17, gender Female, is in Class 8. Scored 32 in Math, 76 in Science, 33 in English, 82 in History, and 85 in Computer, totaling 308 marks with Grade C. Attendance stands at 84.66 percent. Participates in Debate as an extracurricular activity.
Student S18025 named Sarah Edwards, age 15, gender Male, is in Class 8. Scored 34 in Math, 62 in Science, 80 in English, 76 in History, and 50 in Computer, totaling 302 marks with Grade C. Attendance stands at 71.51 percent. Participates in Music as an extracurricular activity.
Student S18026 named Melissa Khan, age 12, gender Male, is in Class 8. Scored 91 in Math, 36 in Science, 92 in English, 51 in History, and 35 in Computer, totaling 305 marks with Grade C. Attendance stands at 71.36 percent. Participates in Music as an extracurricular activity.
Student S18045 named Jeffrey Heath, age 11, gender Male, is in Class 8. Scored 96 in Math, 86 in Science, 94 in English, 91 in History, and 56 in Computer, totaling 423 marks with Grade B. Attendance stands at 85.51 percent. Participates in Debate as an extracurricular activity.
Student S18084 named Christopher Robles, age 11, gender Female, is in Class 8. Scored 44 in Math, 71 in Science, 92 in English, 64 in History, and 64 in Computer, totaling 335 marks with Grade C. Attendance stands at 75.80 percent. Participates in Dance as an extracurricular activity.
Student S18087 named Angela Bailey, age 12, gender Male, is in Class 8. Scored 45 in Math, 65 in Science, 96 in English, 44 in History, and 76 in Computer, totaling 326 marks with Grade C. Attendance stands at 99.79 percent. Participates in Music as an extracurricular activity.
Student S18090 named Danielle Winters, age 10, gender Male, is in Class 8. Scored 42 in Math, 34 in Science, 74 in English, 31 in History, and 99 in Computer, totaling 280 marks with Grade D. Attendance stands at 63.03 percent. Participates in Music as an extracurricular activity.
Student S18124 named John Moreno, age 10, gender Male, is in Class 8. Scored 95 in Math, 70 in Science, 39 in English, 78 in History, and 54 in Computer, totaling 336 marks with Grade C. Attendance stands at 94.15 percent. Participates in Debate as an extracurricular activity.
Student S18141 named Justin Martinez, age 11, gender Female, is in Class 8. Scored 64 in Math, 57 in Science, 49 in English, 88 in History, and 98 in Computer, totaling 356 marks with Grade C. Attendance stands at 79.81 percent. Participates in Debate as an extracurricular activity.
Student S18148 named Claudia Martin, age 13, gender Male, is in Class 8. Scored 63 in Math, 94 in Science, 59 in English, 37 in History, and 80 in Computer, totaling 333 marks with Grade C. Attendance stands at 90.27 percent. Participates in Music as an extracurricular activity.
Student S18153 named Gabriela Stewart, age 17, gender Male, is in Class 8. Scored 30 in Math, 64 in Science, 88 in English, 65 in History, and 94 in Computer, totaling 341 marks with Grade C. Attendance stands at 65.90 percent. Participates in Football as an extracurricular activity.
Student S18170 named Sydney Wang, age 17, gender Female, is in Class 8. Scored 66 in Math, 75 in Science, 93 in English, 33 in History, and 92 in Computer, totaling 359 marks with Grade C. Attendance stands at 96.33 percent. Participates in Debate as an extracurricular activity.
Student S18171 named Hannah Ramos, age 16, gender Male, is in Class 8. Scored 68 in Math, 71 in Science, 61 in English, 34 in History, and 40 in Computer, totaling 274 marks with Grade D. Attendance stands at 70.12 percent. Participates in Music as an extracurricular activity.
Student S18173 named Richard Lewis, age 13, gender Male, is in Class 8. Scored 92 in Math, 38 in Science, 34 in English, 88 in History, and 46 in Computer, totaling 298 marks with Grade D. Attendance stands at 89.47 percent. Participates in Football as an extracurricular activity.
Student S18177 named James Jacobs, age 10, gender Female, is in Class 8. Scored 75 in Math, 31 in Science, 92 in English, 79 in History, and 90 in Computer, totaling 367 marks with Grade C. Attendance stands at 76.56 percent. Participates in Dance as an extracurricular activity.
Student S18189 named Ashley Martinez, age 17, gender Female, is in Class 8. Scored 45 in Math, 77 in Science, 31 in English, 90 in History, and 44 in Computer, totaling 287 marks with Grade D. Attendance stands at 77.07 percent. Participates in None as an extracurricular activity.
Student S18193 named Barbara Campos, age 15, gender Female, is in Class 8. Scored 79 in Math, 75 in Science, 54 in English, 71 in History, and 45 in Computer, totaling 324 marks with Grade C. Attendance stands at 89.13 percent. Participates in None as an extracurricular activity.
Student S18194 named Anthony Williamson, age 13, gender Female, is in Class 8. Scored 43 in Math, 87 in Science, 47 in English, 32 in History, and 62 in Computer, totaling 271 marks with Grade D. Attendance stands at 66.28 percent. Participates in Music as an extracurricular activity.
Student S18197 named Joseph Ramirez, age 14, gender Female, is in Class 8. Scored 79 in Math, 63 in Science, 43 in English, 92 in History, and 95 in Computer, totaling 372 marks with Grade C. Attendance stands at 63.03 percent. Participates in Dance as an extracurricular activity.
Student S18200 named Rodney Pineda, age 12, gender Male, is in Class 8. Scored 31 in Math, 69 in Science, 83 in English, 61 in History, and 61 in Computer, totaling 305 marks with Grade C. Attendance stands at 65.42 percent. Participates in Drama as an extracurricular activity.
Student S18202 named David Alexander, age 14, gender Female, is in Class 8. Scored 34 in Math, 74 in Science, 66 in English, 56 in History, and 56 in Computer, totaling 286 marks with Grade D. Attendance stands at 63.78 percent. Participates in None as an extracurricular activity.
Student S18205 named Jonathan Donaldson, age 15, gender Male, is in Class 8. Scored 44 in Math, 59 in Science, 64 in English, 87 in History, and 33 in Computer, totaling 287 marks with Grade D. Attendance stands at 89.26 percent. Participates in Dance as an extracurricular activity.
Student S18207 named Shawn Bell, age 11, gender Female, is in Class 8. Scored 78 in Math, 79 in Science, 71 in English, 90 in History, and 62 in Computer, totaling 380 marks with Grade C. Attendance stands at 91.35 percent. Participates in Drama as an extracurricular activity.
Student S18229 named Jeremiah Gonzales, age 15, gender Male, is in Class 8. Scored 41 in Math, 73 in Science, 56 in English, 39 in History, and 79 in Computer, totaling 288 marks with Grade D. Attendance stands at 91.63 percent. Participates in None as an extracurricular activity.
Student S18235 named Jay Johnson, age 17, gender Male, is in Class 8. Scored 81 in Math, 89 in Science, 45 in English, 48 in History, and 84 in Computer, totaling 347 marks with Grade C. Attendance stands at 78.03 percent. Participates in None as an extracurricular activity.
Student S18239 named Breanna Hahn DDS, age 14, gender Female, is in Class 8. Scored 65 in Math, 49 in Science, 59 in English, 65 in History, and 76 in Computer, totaling 314 marks with Grade C. Attendance stands at 74.63 percent. Participates in Drama as an extracurricular activity.
Student S18257 named Maureen Walls, age 16, gender Female, is in Class 8. Scored 50 in Math, 94 in Science, 45 in English, 36 in History, and 35 in Computer, totaling 260 marks with Grade D. Attendance stands at 61.64 percent. Participates in Music as an extracurricular activity.
Student S18259 named Heather Walsh, age 15, gender Male, is in Class 8. Scored 49 in Math, 35 in Science, 51 in English, 96 in History, and 69 in Computer, totaling 300 marks with Grade D. Attendance stands at 81.95 percent. Participates in None as an extracurricular activity.
Student S18263 named Michelle Wilson, age 13, gender Male, is in Class 8. Scored 91 in Math, 53 in Science, 79 in English, 99 in History, and 54 in Computer, totaling 376 marks with Grade C. Attendance stands at 99.90 percent. Participates in Dance as an extracurricular activity.
Student S18268 named Randall Smith, age 10, gender Female, is in Class 8. Scored 92 in Math, 56 in Science, 59 in English, 88 in History, and 82 in Computer, totaling 377 marks with Grade C. Attendance stands at 75.90 percent. Participates in Music as an extracurricular activity.
Student S18274 named Darryl Jones, age 10, gender Female, is in Class 8. Scored 72 in Math, 83 in Science, 36 in English, 85 in History, and 80 in Computer, totaling 356 marks with Grade C. Attendance stands at 88.08 percent. Participates in Debate as an extracurricular activity.
Student S18290 named Michelle Gallagher, age 17, gender Male, is in Class 8. Scored 76 in Math, 57 in Science, 85 in English, 67 in History, and 56 in Computer, totaling 341 marks with Grade C. Attendance stands at 99.43 percent. Participates in Debate as an extracurricular activity.
Student S18298 named Robert Howard, age 16, gender Male, is in Class 8. Scored 85 in Math, 78 in Science, 97 in English, 91 in History, and 73 in Computer, totaling 424 marks with Grade B. Attendance stands at 69.96 percent. Participates in None as an extracurricular activity.
Student S18304 named Sean Smith, age 17, gender Male, is in Class 8. Scored 50 in Math, 58 in Science, 38 in English, 85 in History, and 93 in Computer, totaling 324 marks with Grade C. Attendance stands at 72.49 percent. Participates in Football as an extracurricular activity.
Student S18315 named Dr. Jonathan Espinoza Jr., age 14, gender Female, is in Class 8. Scored 73 in Math, 37 in Science, 32 in English, 92 in History, and 38 in Computer, totaling 272 marks with Grade D. Attendance stands at 84.84 percent. Participates in Dance as an extracurricular activity.
Student S18326 named Tony Miller, age 13, gender Male, is in Class 8. Scored 60 in Math, 79 in Science, 31 in English, 86 in History, and 62 in Computer, totaling 318 marks with Grade C. Attendance stands at 76.18 percent. Participates in Dance as an extracurricular activity.
Student S18333 named Lisa Henderson, age 17, gender Female, is in Class 8. Scored 69 in Math, 33 in Science, 44 in English, 93 in History, and 91 in Computer, totaling 330 marks with Grade C. Attendance stands at 72.84 percent. Participates in Drama as an extracurricular activity.
Student S18345 named Joseph Hall, age 12, gender Female, is in Class 8. Scored 58 in Math, 81 in Science, 75 in English, 38 in History, and 66 in Computer, totaling 318 marks with Grade C. Attendance stands at 93.51 percent. Participates in None as an extracurricular activity.
Student S18347 named Donald Smith, age 10, gender Male, is in Class 8. Scored 38 in Math, 88 in Science, 63 in English, 73 in History, and 52 in Computer, totaling 314 marks with Grade C. Attendance stands at 79.24 percent. Participates in Music as an extracurricular activity.
Student S18358 named Amanda Pham, age 14, gender Female, is in Class 8. Scored 50 in Math, 78 in Science, 66 in English, 47 in History, and 86 in Computer, totaling 327 marks with Grade C. Attendance stands at 98.35 percent. Participates in Music as an extracurricular activity.
Student S18368 named Benjamin Fox, age 11, gender Female, is in Class 8. Scored 31 in Math, 94 in Science, 61 in English, 53 in History, and 31 in Computer, totaling 270 marks with Grade D. Attendance stands at 62.07 percent. Participates in Football as an extracurricular activity.
Student S18371 named Ashley Matthews, age 13, gender Male, is in Class 8. Scored 91 in Math, 64 in Science, 34 in English, 87 in History, and 76 in Computer, totaling 352 marks with Grade C. Attendance stands at 90.37 percent. Participates in Dance as an extracurricular activity.
Student S18395 named Cynthia Weaver, age 11, gender Male, is in Class 8. Scored 79 in Math, 37 in Science, 89 in English, 85 in History, and 41 in Computer, totaling 331 marks with Grade C. Attendance stands at 96.03 percent. Participates in Drama as an extracurricular activity.
Student S18406 named David Roberson, age 16, gender Female, is in Class 8. Scored 56 in Math, 85 in Science, 33 in English, 82 in History, and 50 in Computer, totaling 306 marks with Grade C. Attendance stands at 80.01 percent. Participates in Football as an extracurricular activity.
Student S18422 named Brent Green, age 11, gender Female, is in Class 8. Scored 91 in Math, 55 in Science, 73 in English, 90 in History, and 34 in Computer, totaling 343 marks with Grade C. Attendance stands at 63.74 percent. Participates in Dance as an extracurricular activity.
Student S18423 named Peter Nichols, age 13, gender Female, is in Class 8. Scored 52 in Math, 81 in Science, 45 in English, 63 in History, and 31 in Computer, totaling 272 marks with Grade D. Attendance stands at 70.74 percent. Participates in None as an extracurricular activity.
Student S18425 named Michael Kelly, age 13, gender Male, is in Class 8. Scored 30 in Math, 66 in Science, 37 in English, 45 in History, and 84 in Computer, totaling 262 marks with Grade D. Attendance stands at 62.43 percent. Participates in Drama as an extracurricular activity.
Student S18438 named John Phelps, age 15, gender Male, is in Class 8. Scored 49 in Math, 85 in Science, 62 in English, 54 in History, and 81 in Computer, totaling 331 marks with Grade C. Attendance stands at 80.27 percent. Participates in None as an extracurricular activity.
Student S18446 named Chad Bradford Jr., age 11, gender Male, is in Class 8. Scored 54 in Math, 55 in Science, 69 in English, 64 in History, and 43 in Computer, totaling 285 marks with Grade D. Attendance stands at 74.62 percent. Participates in Music as an extracurricular activity.
Student S18454 named Brian Kim, age 10, gender Male, is in Class 8. Scored 94 in Math, 46 in Science, 77 in English, 48 in History, and 52 in Computer, totaling 317 marks with Grade C. Attendance stands at 74.60 percent. Participates in Dance as an extracurricular activity.
Student S18461 named Kenneth Hancock, age 13, gender Female, is in Class 8. Scored 80 in Math, 51 in Science, 64 in English, 98 in History, and 34 in Computer, totaling 327 marks with Grade C. Attendance stands at 94.58 percent. Participates in Drama as an extracurricular activity.
Student S18469 named Aaron Everett, age 16, gender Female, is in Class 8. Scored 97 in Math, 85 in Science, 35 in English, 55 in History, and 34 in Computer, totaling 306 marks with Grade C. Attendance stands at 89.06 percent. Participates in Dance as an extracurricular activity.
Student S18486 named Adam Scott, age 12, gender Male, is in Class 8. Scored 39 in Math, 68 in Science, 42 in English, 70 in History, and 95 in Computer, totaling 314 marks with Grade C. Attendance stands at 62.09 percent. Participates in Football as an extracurricular activity.
Student S18497 named Edward Sellers, age 11, gender Female, is in Class 8. Scored 31 in Math, 95 in Science, 56 in English, 63 in History, and 79 in Computer, totaling 324 marks with Grade C. Attendance stands at 96.83 percent. Participates in Dance as an extracurricular activity.
Student S18502 named John Valenzuela, age 16, gender Female, is in Class 8. Scored 69 in Math, 43 in Science, 70 in English, 89 in History, and 67 in Computer, totaling 338 marks with Grade C. Attendance stands at 68.60 percent. Participates in None as an extracurricular activity.
Student S18506 named Stephanie Bowers, age 10, gender Female, is in Class 8. Scored 32 in Math, 48 in Science, 51 in English, 73 in History, and 78 in Computer, totaling 282 marks with Grade D. Attendance stands at 76.40 percent. Participates in Drama as an extracurricular activity.
Student S18538 named Courtney Wheeler, age 12, gender Female, is in Class 8. Scored 42 in Math, 83 in Science, 71 in English, 51 in History, and 69 in Computer, totaling 316 marks with Grade C. Attendance stands at 61.82 percent. Participates in Debate as an extracurricular activity.
Student S18542 named Shannon Rodriguez DDS, age 15, gender Male, is in Class 8. Scored 85 in Math, 62 in Science, 90 in English, 66 in History, and 37 in Computer, totaling 340 marks with Grade C. Attendance stands at 89.15 percent. Participates in Dance as an extracurricular activity.
Student S18546 named Robert Davis, age 16, gender Male, is in Class 8. Scored 68 in Math, 76 in Science, 78 in English, 58 in History, and 44 in Computer, totaling 324 marks with Grade C. Attendance stands at 69.93 percent. Participates in None as an extracurricular activity.
Student S18558 named Pamela Shah, age 16, gender Male, is in Class 8. Scored 77 in Math, 70 in Science, 41 in English, 40 in History, and 77 in Computer, totaling 305 marks with Grade C. Attendance stands at 96.80 percent. Participates in Debate as an extracurricular activity.
Student S18559 named Michele Hall, age 12, gender Male, is in Class 8. Scored 89 in Math, 55 in Science, 76 in English, 33 in History, and 57 in Computer, totaling 310 marks with Grade C. Attendance stands at 65.19 percent. Participates in Football as an extracurricular activity.
Student S18567 named Kelly Warner, age 10, gender Female, is in Class 8. Scored 53 in Math, 64 in Science, 44 in English, 99 in History, and 39 in Computer, totaling 299 marks with Grade D. Attendance stands at 63.78 percent. Participates in None as an extracurricular activity.
Student S18569 named Michael Silva, age 13, gender Female, is in Class 8. Scored 53 in Math, 66 in Science, 87 in English, 58 in History, and 51 in Computer, totaling 315 marks with Grade C. Attendance stands at 93.74 percent. Participates in None as an extracurricular activity.
Student S18581 named Michelle Patterson, age 17, gender Male, is in Class 8. Scored 30 in Math, 44 in Science, 49 in English, 80 in History, and 47 in Computer, totaling 250 marks with Grade D. Attendance stands at 94.15 percent. Participates in Debate as an extracurricular activity.
Student S18584 named Misty Powell, age 17, gender Male, is in Class 8. Scored 89 in Math, 61 in Science, 94 in English, 36 in History, and 37 in Computer, totaling 317 marks with Grade C. Attendance stands at 67.75 percent. Participates in Music as an extracurricular activity.
Student S18593 named Thomas Hall, age 13, gender Female, is in Class 8. Scored 46 in Math, 33 in Science, 59 in English, 53 in History, and 99 in Computer, totaling 290 marks with Grade D. Attendance stands at 88.70 percent. Participates in None as an extracurricular activity.
Student S18595 named Jason Chaney, age 11, gender Female, is in Class 8. Scored 54 in Math, 86 in Science, 95 in English, 82 in History, and 70 in Computer, totaling 387 marks with Grade C. Attendance stands at 83.97 percent. Participates in Dance as an extracurricular activity.
Student S18605 named Steven Carter, age 10, gender Female, is in Class 8. Scored 72 in Math, 90 in Science, 43 in English, 34 in History, and 85 in Computer, totaling 324 marks with Grade C. Attendance stands at 90.74 percent. Participates in Music as an extracurricular activity.
Student S18613 named Katie Jones, age 11, gender Male, is in Class 8. Scored 83 in Math, 34 in Science, 61 in English, 88 in History, and 85 in Computer, totaling 351 marks with Grade C. Attendance stands at 80.60 percent. Participates in Football as an extracurricular activity.
Student S18621 named Melanie Short, age 11, gender Female, is in Class 8. Scored 44 in Math, 85 in Science, 31 in English, 49 in History, and 86 in Computer, totaling 295 marks with Grade D. Attendance stands at 84.79 percent. Participates in None as an extracurricular activity.
Student S18631 named Scott Bailey, age 15, gender Male, is in Class 8. Scored 71 in Math, 80 in Science, 32 in English, 36 in History, and 93 in Computer, totaling 312 marks with Grade C. Attendance stands at 90.83 percent. Participates in Music as an extracurricular activity.
Student S18634 named Ana Cobb, age 12, gender Female, is in Class 8. Scored 53 in Math, 60 in Science, 89 in English, 83 in History, and 62 in Computer, totaling 347 marks with Grade C. Attendance stands at 67.99 percent. Participates in None as an extracurricular activity.
Student S18635 named Edward Schmidt, age 16, gender Male, is in Class 8. Scored 98 in Math, 87 in Science, 82 in English, 60 in History, and 42 in Computer, totaling 369 marks with Grade C. Attendance stands at 74.73 percent. Participates in Drama as an extracurricular activity.
Student S18636 named Ashley Garcia, age 12, gender Male, is in Class 8. Scored 79 in Math, 75 in Science, 48 in English, 74 in History, and 63 in Computer, totaling 339 marks with Grade C. Attendance stands at 83.10 percent. Participates in Football as an extracurricular activity.
Student S18639 named Richard Walker, age 10, gender Female, is in Class 8. Scored 33 in Math, 89 in Science, 75 in English, 87 in History, and 45 in Computer, totaling 329 marks with Grade C. Attendance stands at 71.22 percent. Participates in Drama as an extracurricular activity.
Student S18642 named David Dunlap, age 13, gender Female, is in Class 8. Scored 95 in Math, 63 in Science, 47 in English, 85 in History, and 72 in Computer, totaling 362 marks with Grade C. Attendance stands at 77.94 percent. Participates in Football as an extracurricular activity.
Student S18644 named Shannon Scott, age 11, gender Male, is in Class 8. Scored 73 in Math, 48 in Science, 52 in English, 82 in History, and 78 in Computer, totaling 333 marks with Grade C. Attendance stands at 74.90 percent. Participates in None as an extracurricular activity.
Student S18662 named Daniel Fisher, age 13, gender Male, is in Class 8. Scored 54 in Math, 59 in Science, 80 in English, 69 in History, and 58 in Computer, totaling 320 marks with Grade C. Attendance stands at 62.70 percent. Participates in Music as an extracurricular activity.
Student S18666 named Ryan Harris, age 14, gender Female, is in Class 8. Scored 43 in Math, 32 in Science, 66 in English, 48 in History, and 59 in Computer, totaling 248 marks with Grade D. Attendance stands at 71.16 percent. Participates in Dance as an extracurricular activity.
Student S18669 named Joshua Collins, age 10, gender Female, is in Class 8. Scored 94 in Math, 92 in Science, 74 in English, 46 in History, and 58 in Computer, totaling 364 marks with Grade C. Attendance stands at 72.07 percent. Participates in Football as an extracurricular activity.
Student S18670 named Daniel Wolfe, age 13, gender Male, is in Class 8. Scored 97 in Math, 42 in Science, 72 in English, 81 in History, and 34 in Computer, totaling 326 marks with Grade C. Attendance stands at 99.91 percent. Participates in Music as an extracurricular activity.
Student S18673 named Kathy Lee, age 13, gender Male, is in Class 8. Scored 39 in Math, 40 in Science, 34 in English, 34 in History, and 30 in Computer, totaling 177 marks with Grade F. Attendance stands at 92.50 percent. Participates in Drama as an extracurricular activity.
Student S18674 named Jason Edwards, age 12, gender Male, is in Class 8. Scored 98 in Math, 49 in Science, 42 in English, 75 in History, and 64 in Computer, totaling 328 marks with Grade C. Attendance stands at 90.54 percent. Participates in Debate as an extracurricular activity.
Student S18680 named Scott Gilmore, age 10, gender Female, is in Class 8. Scored 79 in Math, 63 in Science, 46 in English, 46 in History, and 80 in Computer, totaling 314 marks with Grade C. Attendance stands at 74.15 percent. Participates in Debate as an extracurricular activity.
Student S18683 named Linda Thomas, age 17, gender Female, is in Class 8. Scored 61 in Math, 59 in Science, 98 in English, 46 in History, and 91 in Computer, totaling 355 marks with Grade C. Attendance stands at 80.23 percent. Participates in Football as an extracurricular activity.
Student S18688 named Elizabeth Page, age 11, gender Female, is in Class 8. Scored 71 in Math, 77 in Science, 98 in English, 72 in History, and 97 in Computer, totaling 415 marks with Grade B. Attendance stands at 64.23 percent. Participates in Football as an extracurricular activity.
Student S18693 named Stephanie Ellis, age 16, gender Male, is in Class 8. Scored 74 in Math, 76 in Science, 58 in English, 32 in History, and 60 in Computer, totaling 300 marks with Grade D. Attendance stands at 98.68 percent. Participates in Dance as an extracurricular activity.
Student S18717 named Timothy Mitchell, age 11, gender Male, is in Class 8. Scored 35 in Math, 43 in Science, 82 in English, 91 in History, and 48 in Computer, totaling 299 marks with Grade D. Attendance stands at 84.55 percent. Participates in Football as an extracurricular activity.
Student S18722 named Cindy Rodriguez, age 15, gender Female, is in Class 8. Scored 62 in Math, 95 in Science, 40 in English, 86 in History, and 89 in Computer, totaling 372 marks with Grade C. Attendance stands at 87.75 percent. Participates in Dance as an extracurricular activity.
Student S18729 named Madison Fisher, age 15, gender Male, is in Class 8. Scored 86 in Math, 88 in Science, 37 in English, 96 in History, and 76 in Computer, totaling 383 marks with Grade C. Attendance stands at 92.87 percent. Participates in Drama as an extracurricular activity.
Student S18731 named Juan Cook, age 14, gender Female, is in Class 8. Scored 36 in Math, 55 in Science, 95 in English, 89 in History, and 35 in Computer, totaling 310 marks with Grade C. Attendance stands at 95.03 percent. Participates in None as an extracurricular activity.
