Student S10000 named Brianna Smith, age 16, gender Female, is in Class 12. Scored 47 in Math, 85 in Science, 67 in English, 68 in History, and 81 in Computer, totaling 348 marks with Grade C. Attendance stands at 61.70 percent. Participates in None as an extracurricular activity.
Student S17266 named Mr. Larry Jones DDS, age 11, gender Female, is in Class 12. Scored 92 in Math, 30 in Science, 34 in English, 69 in History, and 60 in Computer, totaling 285 marks with Grade D. Attendance stands at 97.99 percent. Participates in Debate as an extracurricular activity.
Student S17268 named Mary Guzman, age 11, gender Female, is in Class 12. Scored 77 in Math, 37 in Science, 41 in English, 34 in History, and 39 in Computer, totaling 228 marks with Grade D. Attendance stands at 73.89 percent. Participates in Dance as an extracurricular activity.
Student S17278 named Adam Francis, age 10, gender Male, is in Class 12. Scored 31 in Math, 49 in Science, 97 in English, 85 in History, and 78 in Computer, totaling 340 marks with Grade C. Attendance stands at 78.67 percent. Participates in Debate as an extracurricular activity.
Student S17282 named Willie Hunter, age 17, gender Female, is in Class 12. Scored 69 in Math, 53 in Science, 61 in English, 89 in History, and 89 in Computer, totaling 361 marks with Grade C. Attendance stands at 65.12 percent. Participates in Football as an extracurricular activity.
Student S17290 named Julie James, age 12, gender Female, is in Class 12. Scored 96 in Math, 42 in Science, 76 in English, 75 in History, and 55 in Computer, totaling 344 marks with Grade C. Attendance stands at 73.49 percent. Participates in Dance as an extracurricular activity.
Student S17301 named Jared Lewis, age 16, gender Male, is in Class 12. Scored 95 in Math, 79 in Science, 49 in English, 83 in History, and 64 in Computer, totaling 370 marks with Grade C. Attendance stands at 71.63 percent. Participates in Drama as an extracurricular activity.
Student S17316 named Felicia Baker, age 13, gender Male, is in Class 12. Scored 82 in Math, 54 in Science, 34 in English, 56 in History, and 35 in Computer, totaling 261 marks with Grade D. Attendance stands at 64.51 percent. Participates in Dance as an extracurricular activity.
Student S17318 named Jeffery Chan, age 15, gender Male, is in Class 12. Scored 79 in Math, 39 in Science, 51 in English, 74 in History, and 88 in Computer, totaling 331 marks with Grade C. Attendance stands at 76.57 percent. Participates in Music as an extracurricular activity.
Student S17321 named John Johnston, age 14, gender Male, is in Class 12. Scored 68 in Math, 88 in Science, 42 in English, 98 in History, and 36 in Computer, totaling 332 marks with Grade C. Attendance stands at 73.51 percent. Participates in Debate as an extracurricular activity.
Student S17327 named Stephanie Neal, age 13, gender Female, is in Class 12. Scored 48 in Math, 61 in Science, 37 in English, 47 in History, and 72 in Computer, totaling 265 marks with Grade D. Attendance stands at 78.49 percent. Participates in Football as an extracurricular activity.
Student S17355 named Jeff Hughes, age 15, gender Male, is in Class 12. Scored 65 in Math, 42 in Science, 83 in English, 94 in History, and 85 in Computer, totaling 369 marks with Grade C. Attendance stands at 84.04 percent. Participates in Drama as an extracurricular activity.
Student S17359 named Mark Martinez, age 13, gender Male, is in Class 12. Scored 59 in Math, 45 in Science, 30 in English, 67 in History, and 65 in Computer, totaling 266 marks with Grade D. Attendance stands at 94.94 percent. Participates in Debate as an extracurricular activity.
Student S17381 named Brian Ford, age 17, gender Male, is in Class 12. Scored 58 in Math, 53 in Science, 98 in English, 67 in History, and 97 in Computer, totaling 373 marks with Grade C. Attendance stands at 95.15 percent. Participates in Drama as an extracurricular activity.
Student S17391 named Chelsea Russell, age 17, gender Female, is in Class 12. Scored 66 in Math, 74 in Science, 80 in English, 62 in History, and 35 in Computer, totaling 317 marks with Grade C. Attendance stands at 92.50 percent. Participates in Debate as an extracurricular activity.
Student S17397 named Dominique Hall, age 13, gender Female, is in Class 12. Scored 90 in Math, 74 in Science, 32 in English, 80 in History, and 75 in Computer, totaling 351 marks with Grade C. Attendance stands at 97.36 percent. Participates in Dance as an extracurricular activity.
Student S17414 named Edward Meadows, age 15, gender Female, is in Class 12. Scored 86 in Math, 42 in Science, 47 in English, 91 in History, and 55 in Computer, totaling 321 marks with Grade C. Attendance stands at 65.63 percent. Participates in None as an extracurricular activity.
Student S17432 named David Jones, age 17, gender Female, is in Class 12. Scored 92 in Math, 37 in Science, 37 in English, 90 in History, and 56 in Computer, totaling 312 marks with Grade C. Attendance stands at 60.49 percent. Participates in Debate as an extracurricular activity.
Student S17433 named Laura Rojas, age 12, gender Male, is in Class 12. Scored 68 in Math, 72 in Science, 71 in English, 90 in History, and 86 in Computer, totaling 387 marks with Grade C. Attendance stands at 60.60 percent. Participates in Debate as an extracurricular activity.
Student S17434 named Kathleen Christian, age 13, gender Female, is in Class 12. Scored 91 in Math, 91 in Science, 58 in English, 38 in History, and 38 in Computer, totaling 316 marks with Grade C. Attendance stands at 62.90 percent. Participates in Debate as an extracurricular activity.
Student S17457 named David Decker, age 11, gender Male, is in Class 12. Scored 33 in Math, 37 in Science, 72 in English, 67 in History, and 82 in Computer, totaling 291 marks with Grade D. Attendance stands at 79.73 percent. Participates in None as an extracurricular activity.
Student S17465 named Tammy Wright, age 16, gender Female, is in Class 12. Scored 88 in Math, 43 in Science, 66 in English, 75 in History, and 62 in Computer, totaling 334 marks with Grade C. Attendance stands at 88.83 percent. Participates in Music as an extracurricular activity.
Student S17474 named Heather Herrera, age 17, gender Female, is in Class 12. Scored 38 in Math, 36 in Science, 47 in English, 52 in History, and 49 in Computer, totaling 222 marks with Grade D. Attendance stands at 77.05 percent. Participates in Drama as an extracurricular activity.
Student S17475 named Mr. Michael Singleton, age 13, gender Female, is in Class 12. Scored 78 in Math, 61 in Science, 77 in English, 66 in History, and 41 in Computer, totaling 323 marks with Grade C. Attendance stands at 68.59 percent. Participates in Music as an extracurricular activity.
Student S17480 named Amber Brown, age 15, gender Female, is in Class 12. Scored 55 in Math, 53 in Science, 53 in English, 48 in History, and 57 in Computer, totaling 266 marks with Grade D. Attendance stands at 67.14 percent. Participates in Dance as an extracurricular activity.
Student S17486 named Christopher Hoover, age 15, gender Female, is in Class 12. Scored 92 in Math, 32 in Science, 79 in English, 48 in History, and 59 in Computer, totaling 310 marks with Grade C. Attendance stands at 80.50 percent. Participates in Dance as an extracurricular activity.
Student S17487 named Vanessa Lara, age 15, gender Female, is in Class 12. Scored 71 in Math, 65 in Science, 79 in English, 86 in History, and 67 in Computer, totaling 368 marks with Grade C. Attendance stands at 90.51 percent. Participates in Dance as an extracurricular activity.
Student S17502 named Kathy Arnold, age 10, gender Female, is in Class 12. Scored 30 in Math, 41 in Science, 80 in English, 64 in History, and 34 in Computer, totaling 249 marks with Grade D. Attendance stands at 78.80 percent. Participates in Drama as an extracurricular activity.
Student S17504 named Amanda Green, age 16, gender Female, is in Class 12. Scored 52 in Math, 55 in Science, 89 in English, 61 in History, and 86 in Computer, totaling 343 marks with Grade C. Attendance stands at 63.62 percent. Participates in Debate as an extracurricular activity.
Student S17509 named Melinda Hobbs, age 11, gender Female, is in Class 12. Scored 99 in Math, 58 in Science, 68 in English, 32 in History, and 30 in Computer, totaling 287 marks with Grade D. Attendance stands at 73.01 percent. Participates in None as an extracurricular activity.
Student S17513 named Melody James, age 13, gender Male, is in Class 12. Scored 67 in Math, 35 in Science, 47 in English, 79 in History, and 85 in Computer, totaling 313 marks with Grade C. Attendance stands at 74.84 percent. Participates in None as an extracurricular activity.
Student S17518 named April Stevenson, age 10, gender Female, is in Class 12. Scored 41 in Math, 51 in Science, 48 in English, 62 in History, and 93 in Computer, totaling 295 marks with Grade D. Attendance stands at 84.82 percent. Participates in Music as an extracurricular activity.
Student S17525 named Joshua Williams, age 13, gender Male, is in Class 12. Scored 85 in Math, 50 in Science, 78 in English, 88 in History, and 41 in Computer, totaling 342 marks with Grade C. Attendance stands at 85.70 percent. Participates in None as an extracurricular activity.
Student S17532 named Mark Case, age 15, gender Male, is in Class 12. Scored 46 in Math, 37 in Science, 56 in English, 81 in History, and 34 in Computer, totaling 254 marks with Grade D. Attendance stands at 97.53 percent. Participates in None as an extracurricular activity.
Student S17535 named Noah Tran, age 14, gender Male, is in Class 12. Scored 76 in Math, 59 in Science, 40 in English, 61 in History, and 74 in Computer, totaling 310 marks with Grade C. Attendance stands at 64.81 percent. Participates in Football as an extracurricular activity.
Student S17545 named Jackie Johnson, age 11, gender Male, is in Class 12. Scored 88 in Math, 52 in Science, 35 in English, 54 in History, and 72 in Computer, totaling 301 marks with Grade C. Attendance stands at 95.52 percent. Participates in Football as an extracurricular activity.
Student S17566 named Amy Cross, age 12, gender Male, is in Class 12. Scored 76 in Math, 50 in Science, 40 in English, 46 in History, and 88 in Computer, totaling 300 marks with Grade D. Attendance stands at 71.64 percent. Participates in Dance as an extracurricular activity.
Student S17571 named Annette Coffey, age 17, gender Male, is in Class 12. Scored 32 in Math, 75 in Science, 41 in English, 62 in History, and 48 in Computer, totaling 258 marks with Grade D. Attendance stands at 92.81 percent. Participates in Football as an extracurricular activity.
Student S17578 named Crystal Webb, age 10, gender Female, is in Class 12. Scored 32 in Math, 81 in Science, 32 in English, 41 in History, and 36 in Computer, totaling 222 marks with Grade D. Attendance stands at 98.60 percent. Participates in Debate as an extracurricular activity.
Student S17584 named April Mills, age 14, gender Female, is in Class 12. Scored 86 in Math, 48 in Science, 95 in English, 84 in History, and 97 in Computer, totaling 410 marks with Grade B. Attendance stands at 63.66 percent. Participates in Debate as an extracurricular activity.
Student S17598 named Antonio Kim, age 11, gender Male, is in Class 12. Scored 59 in Math, 82 in Science, 48 in English, 64 in History, and 45 in Computer, totaling 298 marks with Grade D. Attendance stands at 94.03 percent. Participates in Music as an extracurricular activity.
Student S17601 named Holly Nguyen, age 13, gender Female, is in Class 12. Scored 63 in Math, 43 in Science, 64 in English, 98 in History, and 85 in Computer, totaling 353 marks with Grade C. Attendance stands at 81.73 percent. Participates in None as an extracurricular activity.
Student S17605 named Vanessa Logan, age 11, gender Male, is in Class 12. Scored 51 in Math, 90 in Science, 59 in English, 33 in History, and 87 in Computer, totaling 320 marks with Grade C. Attendance stands at 94.95 percent. Participates in Dance as an extracurricular activity.
Student S17630 named Brian Vazquez, age 11, gender Female, is in Class 12. Scored 91 in Math, 53 in Science, 78 in English, 79 in History, and 68 in Computer, totaling 369 marks with Grade C. Attendance stands at 99.14 percent. Participates in Music as an extracurricular activity.
Student S17631 named Stephanie Walters, age 13, gender Male, is in Class 12. Scored 96 in Math, 56 in Science, 64 in English, 87 in History, and 38 in Computer, totaling 341 marks with Grade C. Attendance stands at 63.67 percent. Participates in Music as an extracurricular activity.
Student S17632 named Ashley Hall, age 12, gender Male, is in Class 12. Scored 80 in Math, 43 in Science, 89 in English, 73 in History, and 85 in Computer, totaling 370 marks with Grade C. Attendance stands at 91.47 percent. Participates in Music as an extracurricular activity.
Student S17633 named Mr. Frank Johnson, age 17, gender Female, is in Class 12. Scored 81 in Math, 84 in Science, 42 in English, 90 in History, and 88 in Computer, totaling 385 marks with Grade C. Attendance stands at 71.57 percent. Participates in Football as an extracurricular activity.
Student S17638 named Dr. Robert Morgan II, age 10, gender Female, is in Class 12. Scored 56 in Math, 92 in Science, 36 in English, 46 in History, and 99 in Computer, totaling 329 marks with Grade C. Attendance stands at 65.77 percent. Participates in Debate as an extracurricular activity.
Student S17650 named Lynn Vazquez, age 15, gender Female, is in Class 12. Scored 42 in Math, 52 in Science, 47 in English, 45 in History, and 59 in Computer, totaling 245 marks with Grade D. Attendance stands at 65.57 percent. Participates in Drama as an extracurricular activity.
Student S17654 named Amy Decker, age 14, gender Female, is in Class 12. Scored 94 in Math, 99 in Science, 31 in English, 96 in History, and 58 in Computer, totaling 378 marks with Grade C. Attendance stands at 67.00 percent. Participates in Dance as an extracurricular activity.
Student S17669 named Nicole Sanders, age 10, gender Male, is in Class 12. Scored 91 in Math, 46 in Science, 35 in English, 33 in History, and 31 in Computer, totaling 236 marks with Grade D. Attendance stands at 86.87 percent. Participates in None as an extracurricular activity.
Student S17674 named Marilyn Mills, age 14, gender Female, is in Class 12. Scored 82 in Math, 56 in Science, 90 in English, 74 in History, and 40 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.52 percent. Participates in Drama as an extracurricular activity.
Student S17682 named Cheryl Castillo, age 12, gender Male, is in Class 12. Scored 38 in Math, 37 in Science, 55 in English, 90 in History, and 61 in Computer, totaling 281 marks with Grade D. Attendance stands at 97.57 percent. Participates in Debate as an extracurricular activity.
Student S17685 named Lisa Hale, age 15, gender Female, is in Class 12. Scored 77 in Math, 57 in Science, 41 in English, 40 in History, and 42 in Computer, totaling 257 marks with Grade D. Attendance stands at 78.31 percent. Participates in Dance as an extracurricular activity.
Student S17711 named Nicole Torres, age 11, gender Male, is in Class 12. Scored 98 in Math, 81 in Science, 40 in English, 62 in History, and 74 in Computer, totaling 355 marks with Grade C. Attendance stands at 69.18 percent. Participates in None as an extracurricular activity.
Student S17740 named Christopher Johnson, age 15, gender Male, is in Class 12. Scored 64 in Math, 69 in Science, 61 in English, 93 in History, and 33 in Computer, totaling 320 marks with Grade C. Attendance stands at 78.49 percent. Participates in Drama as an extracurricular activity.
Student S17743 named Ashley Mason, age 11, gender Female, is in Class 12. Scored 33 in Math, 50 in Science, 74 in English, 69 in History, and 80 in Computer, totaling 306 marks with Grade C. Attendance stands at 65.80 percent. Participates in Football as an extracurricular activity.
Student S17750 named Jaclyn Crawford, age 14, gender Male, is in Class 12. Scored 80 in Math, 50 in Science, 76 in English, 97 in History, and 87 in Computer, totaling 390 marks with Grade C. Attendance stands at 84.43 percent. Participates in Music as an extracurricular activity.
Student S17756 named Jonathon Harris, age 14, gender Female, is in Class 12. Scored 57 in Math, 91 in Science, 93 in English, 81 in History, and 74 in Computer, totaling 396 marks with Grade C. Attendance stands at 93.43 percent. Participates in Debate as an extracurricular activity.
Student S17761 named Mackenzie Gonzales, age 14, gender Male, is in Class 12. Scored 38 in Math, 52 in Science, 32 in English, 88 in History, and 32 in Computer, totaling 242 marks with Grade D. Attendance stands at 96.35 percent. Participates in Debate as an extracurricular activity.
Student S17765 named Benjamin Mcpherson, age 16, gender Male, is in Class 12. Scored 54 in Math, 94 in Science, 50 in English, 45 in History, and 37 in Computer, totaling 280 marks with Grade D. Attendance stands at 68.70 percent. Participates in Debate as an extracurricular activity.
Student S17766 named Ian Ellis, age 11, gender Male, is in Class 12. Scored 30 in Math, 55 in Science, 96 in English, 32 in History, and 93 in Computer, totaling 306 marks with Grade C. Attendance stands at 87.91 percent. Participates in Music as an extracurricular activity.
Student S17770 named Brittany Edwards, age 12, gender Female, is in Class 12. Scored 78 in Math, 59 in Science, 59 in English, 63 in History, and 37 in Computer, totaling 296 marks with Grade D. Attendance stands at 89.46 percent. Participates in Debate as an extracurricular activity.
Student S17779 named Joel Smith, age 10, gender Male, is in Class 12. Scored 82 in Math, 35 in Science, 95 in English, 82 in History, and 72 in Computer, totaling 366 marks with Grade C. Attendance stands at 61.54 percent. Participates in Music as an extracurricular activity.
Student S17780 named James Rodriguez, age 14, gender Male, is in Class 12. Scored 69 in Math, 62 in Science, 36 in English, 46 in History, and 63 in Computer, totaling 276 marks with Grade D. Attendance stands at 84.27 percent. Participates in Football as an extracurricular activity.
Student S17784 named Carol Burns, age 16, gender Male, is in Class 12. Scored 78 in Math, 77 in Science, 56 in English, 35 in History, and 38 in Computer, totaling 284 marks with Grade D. Attendance stands at 76.56 percent. Participates in Drama as an extracurricular activity.
Student S17790 named Michelle Evans, age 11, gender Male, is in Class 12. Scored 50 in Math, 67 in Science, 88 in English, 38 in History, and 84 in Computer, totaling 327 marks with Grade C. Attendance stands at 87.46 percent. Participates in None as an extracurricular activity.
Student S17792 named Jason Stewart, age 13, gender Female, is in Class 12. Scored 94 in Math, 85 in Science, 71 in English, 66 in History, and 76 in Computer, totaling 392 marks with Grade C. Attendance stands at 96.86 percent. Participates in Dance as an extracurricular activity.
Student S17797 named Caitlin Gonzalez, age 15, gender Female, is in Class 12. Scored 51 in Math, 47 in Science, 83 in English, 86 in History, and 32 in Computer, totaling 299 marks with Grade D. Attendance stands at 62.24 percent. Participates in Music as an extracurricular activity.
Student S17804 named David Haley, age 11, gender Male, is in Class 12. Scored 64 in Math, 92 in Science, 57 in English, 88 in History, and 43 in Computer, totaling 344 marks with Grade C. Attendance stands at 97.31 percent. Participates in Dance as an extracurricular activity.
Student S17829 named Tammy Baker, age 16, gender Male, is in Class 12. Scored 78 in Math, 76 in Science, 68 in English, 70 in History, and 36 in Computer, totaling 328 marks with Grade C. Attendance stands at 66.33 percent. Participates in Dance as an extracurricular activity.
Student S17832 named Michael Perry, age 13, gender Male, is in Class 12. Scored 85 in Math, 84 in Science, 89 in English, 64 in History, and 50 in Computer, totaling 372 marks with Grade C. Attendance stands at 75.44 percent. Participates in Drama as an extracurricular activity.
Student S17836 named Kathleen Lawrence, age 11, gender Female, is in Class 12. Scored 34 in Math, 36 in Science, 59 in English, 34 in History, and 53 in Computer, totaling 216 marks with Grade D. Attendance stands at 75.05 percent. Participates in Dance as an extracurricular activity.
Student S17842 named Christopher Le, age 12, gender Male, is in Class 12. Scored 33 in Math, 33 in Science, 55 in English, 79 in History, and 90 in Computer, totaling 290 marks with Grade D. Attendance stands at 67.93 percent. Participates in None as an extracurricular activity.
Student S17851 named Lawrence Maddox, age 15, gender Female, is in Class 12. Scored 52 in Math, 55 in Science, 65 in English, 57 in History, and 44 in Computer, totaling 273 marks with Grade D. Attendance stands at 99.67 percent. Participates in None as an extracurricular activity.
Student S17862 named Robert Ross, age 15, gender Male, is in Class 12. Scored 90 in Math, 31 in Science, 89 in English, 70 in History, and 44 in Computer, totaling 324 marks with Grade C. Attendance stands at 87.70 percent. Participates in None as an extracurricular activity.
Student S17875 named Monica Vazquez, age 17, gender Male, is in Class 12. Scored 61 in Math, 36 in Science, 54 in English, 60 in History, and 68 in Computer, totaling 279 marks with Grade D. Attendance stands at 98.43 percent. Participates in Debate as an extracurricular activity.
Student S17879 named Jerry Ferguson, age 14, gender Male, is in Class 12. Scored 93 in Math, 53 in Science, 80 in English, 56 in History, and 93 in Computer, totaling 375 marks with Grade C. Attendance stands at 93.02 percent. Participates in Music as an extracurricular activity.
Student S17880 named Joshua Jones, age 14, gender Female, is in Class 12. Scored 42 in Math, 93 in Science, 45 in English, 66 in History, and 98 in Computer, totaling 344 marks with Grade C. Attendance stands at 91.08 percent. Participates in Football as an extracurricular activity.
Student S17887 named Melissa Perez, age 15, gender Female, is in Class 12. Scored 44 in Math, 81 in Science, 73 in English, 31 in History, and 90 in Computer, totaling 319 marks with Grade C. Attendance stands at 77.52 percent. Participates in Drama as an extracurricular activity.
Student S17900 named Joseph Sweeney, age 10, gender Female, is in Class 12. Scored 95 in Math, 32 in Science, 31 in English, 59 in History, and 76 in Computer, totaling 293 marks with Grade D. Attendance stands at 71.77 percent. Participates in Drama as an extracurricular activity.
Student S17905 named Craig Jarvis, age 12, gender Male, is in Class 12. Scored 69 in Math, 70 in Science, 49 in English, 52 in History, and 44 in Computer, totaling 284 marks with Grade D. Attendance stands at 95.06 percent. Participates in Football as an extracurricular activity.
Student S17907 named Tara King, age 14, gender Male, is in Class 12. Scored 46 in Math, 53 in Science, 87 in English, 73 in History, and 40 in Computer, totaling 299 marks with Grade D. Attendance stands at 79.29 percent. Participates in Dance as an extracurricular activity.
Student S17930 named Meghan Bell, age 11, gender Female, is in Class 12. Scored 35 in Math, 35 in Science, 58 in English, 31 in History, and 57 in Computer, totaling 216 marks with Grade D. Attendance stands at 90.64 percent. Participates in Debate as an extracurricular activity.
Student S17941 named Joseph Gilmore, age 17, gender Female, is in Class 12. Scored 48 in Math, 79 in Science, 77 in English, 30 in History, and 95 in Computer, totaling 329 marks with Grade C. Attendance stands at 68.72 percent. Participates in Music as an extracurricular activity.
Student S17949 named Phillip Rose, age 15, gender Male, is in Class 12. Scored 71 in Math, 69 in Science, 57 in English, 85 in History, and 31 in Computer, totaling 313 marks with Grade C. Attendance stands at 82.29 percent. Participates in None as an extracurricular activity.
Student S17952 named Tyler Brown MD, age 11, gender Female, is in Class 12. Scored 92 in Math, 85 in Science, 91 in English, 30 in History, and 68 in Computer, totaling 366 marks with Grade C. Attendance stands at 77.77 percent. Participates in Debate as an extracurricular activity.
Student S17956 named Joseph Zuniga, age 12, gender Female, is in Class 12. Scored 79 in Math, 98 in Science, 91 in English, 97 in History, and 57 in Computer, totaling 422 marks with Grade B. Attendance stands at 83.15 percent. Participates in Dance as an extracurricular activity.
Student S17958 named Martin Olson, age 14, gender Male, is in Class 12. Scored 70 in Math, 90 in Science, 97 in English, 54 in History, and 88 in Computer, totaling 399 marks with Grade C. Attendance stands at 75.35 percent. Participates in Music as an extracurricular activity.
Student S17967 named Karina Washington, age 13, gender Male, is in Class 12. Scored 73 in Math, 35 in Science, 73 in English, 46 in History, and 56 in Computer, totaling 283 marks with Grade D. Attendance stands at 60.86 percent. Participates in Dance as an extracurricular activity.
Student S17974 named Julie Gomez, age 16, gender Male, is in Class 12. Scored 74 in Math, 75 in Science, 76 in English, 81 in History, and 52 in Computer, totaling 358 marks with Grade C. Attendance stands at 79.86 percent. Participates in Music as an extracurricular activity.
Student S17976 named Robert Johnson, age 15, gender Male, is in Class 12. Scored 49 in Math, 45 in Science, 78 in English, 84 in History, and 38 in Computer, totaling 294 marks with Grade D. Attendance stands at 73.99 percent. Participates in Debate as an extracurricular activity.
Student S17980 named Dr. Ronnie Esparza, age 17, gender Female, is in Class 12. Scored 81 in Math, 64 in Science, 41 in English, 31 in History, and 63 in Computer, totaling 280 marks with Grade D. Attendance stands at 86.42 percent. Participates in Music as an extracurricular activity.
Student S17986 named Jerry Walsh, age 10, gender Male, is in Class 12. Scored 57 in Math, 48 in Science, 41 in English, 43 in History, and 58 in Computer, totaling 247 marks with Grade D. Attendance stands at 97.77 percent. Participates in Drama as an extracurricular activity.
Student S18001 named Daniel Nguyen, age 15, gender Male, is in Class 12. Scored 75 in Math, 49 in Science, 75 in English, 35 in History, and 40 in Computer, totaling 274 marks with Grade D. Attendance stands at 85.83 percent. Participates in Debate as an extracurricular activity.
Student S18004 named Darren Nelson, age 12, gender Male, is in Class 12. Scored 69 in Math, 32 in Science, 78 in English, 86 in History, and 44 in Computer, totaling 309 marks with Grade C. Attendance stands at 76.67 percent. Participates in None as an extracurricular activity.
Student S18009 named Kevin Hernandez, age 17, gender Female, is in Class 12. Scored 35 in Math, 98 in Science, 54 in English, 87 in History, and 35 in Computer, totaling 309 marks with Grade C. Attendance stands at 65.16 percent. Participates in Dance as an extracurricular activity.
Student S18019 named Rachel Andrews, age 14, gender Female, is in Class 12. Scored 63 in Math, 57 in Science, 66 in English, 80 in History, and 46 in Computer, totaling 312 marks with Grade C. Attendance stands at 71.31 percent. Participates in Drama as an extracurricular activity.
Student S18023 named Corey Johnson, age 14, gender Male, is in Class 12. Scored 46 in Math, 50 in Science, 61 in English, 37 in History, and 83 in Computer, totaling 277 marks with Grade D. Attendance stands at 73.39 percent. Participates in Football as an extracurricular activity.
Student S18036 named Christopher Hudson, age 10, gender Female, is in Class 12. Scored 82 in Math, 98 in Science, 75 in English, 33 in History, and 83 in Computer, totaling 371 marks with Grade C. Attendance stands at 81.48 percent. Participates in None as an extracurricular activity.
Student S18040 named Brenda Ramirez, age 13, gender Female, is in Class 12. Scored 53 in Math, 32 in Science, 81 in English, 66 in History, and 36 in Computer, totaling 268 marks with Grade D. Attendance stands at 88.26 percent. Participates in Music as an extracurricular activity.
Student S18043 named Jeremy Mccoy, age 13, gender Female, is in Class 12. Scored 66 in Math, 90 in Science, 31 in English, 40 in History, and 74 in Computer, totaling 301 marks with Grade C. Attendance stands at 95.60 percent. Participates in Music as an extracurricular activity.
Student S18052 named Eric Steele, age 14, gender Male, is in Class 12. Scored 51 in Math, 79 in Science, 73 in English, 93 in History, and 44 in Computer, totaling 340 marks with Grade C. Attendance stands at 96.44 percent. Participates in Football as an extracurricular activity.
Student S18059 named Albert Cardenas, age 13, gender Female, is in Class 12. Scored 78 in Math, 62 in Science, 44 in English, 44 in History, and 45 in Computer, totaling 273 marks with Grade D. Attendance stands at 61.69 percent. Participates in Drama as an extracurricular activity.
Student S18067 named Ryan Holmes, age 11, gender Male, is in Class 12. Scored 78 in Math, 39 in Science, 99 in English, 73 in History, and 80 in Computer, totaling 369 marks with Grade C. Attendance stands at 66.96 percent. Participates in Dance as an extracurricular activity.
Student S18069 named Matthew Ramos, age 13, gender Male, is in Class 12. Scored 59 in Math, 40 in Science, 85 in English, 93 in History, and 95 in Computer, totaling 372 marks with Grade C. Attendance stands at 74.08 percent. Participates in Football as an extracurricular activity.
Student S18085 named Matthew Johnson DDS, age 17, gender Male, is in Class 12. Scored 65 in Math, 99 in Science, 64 in English, 66 in History, and 75 in Computer, totaling 369 marks with Grade C. Attendance stands at 94.67 percent. Participates in Drama as an extracurricular activity.
Student S18091 named Jeffrey Daniels, age 12, gender Female, is in Class 12. Scored 33 in Math, 30 in Science, 40 in English, 87 in History, and 51 in Computer, totaling 241 marks with Grade D. Attendance stands at 99.93 percent. Participates in None as an extracurricular activity.
Student S18094 named Nicholas Perry, age 11, gender Male, is in Class 12. Scored 67 in Math, 64 in Science, 32 in English, 76 in History, and 84 in Computer, totaling 323 marks with Grade C. Attendance stands at 76.22 percent. Participates in Dance as an extracurricular activity.
Student S18096 named Nicole Clarke, age 12, gender Female, is in Class 12. Scored 84 in Math, 88 in Science, 87 in English, 79 in History, and 58 in Computer, totaling 396 marks with Grade C. Attendance stands at 82.45 percent. Participates in Music as an extracurricular activity.
Student S18101 named Kevin Perry, age 12, gender Female, is in Class 12. Scored 88 in Math, 62 in Science, 79 in English, 68 in History, and 67 in Computer, totaling 364 marks with Grade C. Attendance stands at 90.13 percent. Participates in Dance as an extracurricular activity.
Student S18103 named Christopher Moody, age 10, gender Female, is in Class 12. Scored 74 in Math, 72 in Science, 41 in English, 86 in History, and 41 in Computer, totaling 314 marks with Grade C. Attendance stands at 81.58 percent. Participates in None as an extracurricular activity.
Student S18107 named Sara Johnson, age 13, gender Female, is in Class 12. Scored 65 in Math, 55 in Science, 43 in English, 60 in History, and 40 in Computer, totaling 263 marks with Grade D. Attendance stands at 71.77 percent. Participates in Music as an extracurricular activity.
Student S18115 named Kenneth Hurley, age 10, gender Female, is in Class 12. Scored 51 in Math, 74 in Science, 55 in English, 93 in History, and 33 in Computer, totaling 306 marks with Grade C. Attendance stands at 72.33 percent. Participates in Drama as an extracurricular activity.
Student S18120 named Michelle Simmons, age 14, gender Female, is in Class 12. Scored 78 in Math, 85 in Science, 69 in English, 52 in History, and 83 in Computer, totaling 367 marks with Grade C. Attendance stands at 61.28 percent. Participates in None as an extracurricular activity.
Student S18131 named Daniel Freeman, age 16, gender Female, is in Class 12. Scored 41 in Math, 99 in Science, 64 in English, 41 in History, and 50 in Computer, totaling 295 marks with Grade D. Attendance stands at 91.59 percent. Participates in Football as an extracurricular activity.
Student S18144 named Heather Villarreal, age 14, gender Male, is in Class 12. Scored 86 in Math, 80 in Science, 47 in English, 84 in History, and 48 in Computer, totaling 345 marks with Grade C. Attendance stands at 64.71 percent. Participates in Drama as an extracurricular activity.
Student S18147 named Matthew Rush, age 17, gender Female, is in Class 12. Scored 69 in Math, 73 in Science, 84 in English, 36 in History, and 71 in Computer, totaling 333 marks with Grade C. Attendance stands at 89.57 percent. Participates in Football as an extracurricular activity.
Student S18150 named Daniel Morgan, age 15, gender Female, is in Class 12. Scored 41 in Math, 48 in Science, 53 in English, 54 in History, and 35 in Computer, totaling 231 marks with Grade D. Attendance stands at 76.14 percent. Participates in Music as an extracurricular activity.
Student S18156 named Amanda Gardner, age 10, gender Male, is in Class 12. Scored 95 in Math, 44 in Science, 77 in English, 65 in History, and 30 in Computer, totaling 311 marks with Grade C. Attendance stands at 99.28 percent. Participates in Drama as an extracurricular activity.
